-3:50 | (New member) Bell•M
1:40 | (Member (2 months)) Byleth : :_heart::_heart::_heart:
1:45 | (Member (1 year)) 🌺珊玉: :_heart::_heart::_heart:
1:53 | (New member) Jiangyee
2:05 | (Member (1 year)) 子夜鴞_owl: :_heart::_heart::_heart:
2:26 | (Member (1 year)) Apsara🖋: :_heart::_heart::_heart:
2:40 | (Member (1 year)) にじいろのすみ: :_heart::_heart::_heart:
2:46 | (Member (1 year)) Us: CAUGHT YOU LIVE AFTER FOREVER YAY!!!!!! THANKS FOR A STREAM THATS GOOD FOR MY TIMEZONE - 104 (ignore my username, it's stuck)
2:50 | (Member (1 year)) ヒナ-hina-: :_heart::_heart::_heart:
2:54 | (Member (1 year)) 草本動物: :_heart::_heart::_heart:
2:56 | (Member (1 year)) Mika-chin Paint: :_heart::_heart::_heart::_heart:
3:00 | (Member (1 year)) Caliburrst: :_wave::_heart:
3:26 | (Member (1 year)) TedPeeves: :_wave::_wave::_heart:
3:39 | (Member (1 year)) Orange Chan: :_heart::_heart::_heart:
3:49 | (Member (6 months)) ☆「Toasted_bread」☆: Yay made it to 8 months!! 
3:50 | (Member (6 months)) Hayley: :_heart::_heart::_heart:
3:50 | (Member (1 year)) Shii: Yippeeee
4:09 | (Member (1 year)) ユイyui: :_excite::_excite::_excite:
4:19 | (Member (1 year)) coconut yukimura: :_heart::_heart::_heart:
5:04 | (Member (1 year)) きお: :_heart::_heart:
5:06 | (Member (6 months)) 𐂴Auroraミ☆
5:31 | (Member (6 months)) calista413: :_cheerquill::_heart:
5:35 | (Member (1 year)) Caliburrst: Gifted 10 Ike Eveland【NIJISANJI EN】 memberships
5:37 | (Member (2 months)) cindy𐂴: :_heart::_heart::_heart:
7:43 | (Member (2 months)) Una: Ivy-sama is real IKZZZ:_excite::_excite::_excite:
8:07 | (Member (1 year)) RosieKizuna Kira 💙: :_strawberry::_heart:
8:30 | (Member (6 months)) holly小無
9:09 | (Member (1 year)) mars 🌻
9:39 | (Member (1 month)) Alycarus: Bec of niji, my otome addiction is kicking back
9:44 | (Member (6 months)) Kent Lavis: :_excite::_excite:
10:01 | (Member (2 months)) キスゆ kisuyu: :_excite::_excite::_excite:
10:12 | (Member (1 year)) kp
10:31 | (Member (2 months)) Chewing: :_heart::_heart::_heart:
14:09 | (Member (1 year)) 阿毛 AMAO: :_heart::_heart::_heart:
15:29 | (Member (1 year)) 柚子の墓YuzuNoHaka: ドキドキ:beating_heart:
15:54 | *SEK 50.00* Onewithouthope Channel: God morgon Ike! Hoppas du ätit frukost (kaviar macka mayhaps?) din stream är så mysig o lyssna på medans man gör sig iordning för skolan :blue_heart: 
16:41 | (New member) Mok
17:03 | (New member) M-Dewdrop🌿(Emilyyy)
19:22 | (Member (1 year)) 恆月Léluna: the RPG totally slayed woohoo!
21:25 | (Member (1 year)) ユイ: :_blush::_tskr:
21:50 | (Member (2 months)) *A$5.00* Violetta Roo: HI IKE! unfortunately i have to watch the rest on vod but I'm so glad you get to play this! Have fun and I'll see you later!! 
23:35 | (Member (6 months)) Akath: :_heart::_heart::_heart:
31:48 | (New member) *$1.99* Jiangyee: have fun babe, by the way I love Rafayel
33:26 | (Member (1 year)) View-chan
39:11 | (Member (1 year)) アリ-Allie-: :_blush::_blush::_blush:
46:02 | (New member) *$4.99* Crystallineclouds: Hi!
49:48 | (Member (1 year)) Lorraine Hwang: Please enjoy the game :_heart::_heart::_heart:
50:34 | (Member (1 year)) Lyn 💫: :_heart::_heart::_heart::_heart:
51:19 | (Member (2 months)) 🐻 Josie Amber 🐻: :fountain_pen:: Date? Me: that a new thing for you?
52:04 | (Member (1 year)) Fanzhuo🎴梵卓: :_mweh:
52:49 | (Member (6 months)) Miyukitten: :_comfy:
53:08 | (Member (2 months)) *¥1,000* あおい: かわいい乙女ゲームやってくれて、ありがとう！めちゃ楽しいです！
53:50 | (New member) mommygrl02 Wolf
1:05:43 | (Member (6 months)) *$19.99* khrystall: Gatcha funds
1:10:25 | (Member (2 months)) Classica: WHIP UP THE WALLETWORKS:_laugh:GO GO GO also trying the game with you!
1:11:08 | *$20.00* Arin Light: one moreeeee
1:11:31 | (Member (6 months)) Naomi: :_heart::_heart:
1:11:52 | (Member (1 year)) パイ: :_heart::_heart::_heart:
1:21:12 | (Member (1 year)) Linnie💙🖋: Gifted 1 Ike Eveland【NIJISANJI EN】 memberships
1:21:21 | (Member (1 year)) 夏五郎[Natsugoro]: :_heart::_heart::_heart:
1:21:26 | (Member (2 months)) シャーロット: otsu:_heart::_heart::_heart:
1:21:33 | (Member (6 months)) S☆phie: :_heart::_heart::_heart:
1:21:58 | (Member (1 year)) 𓇼𓆡𓆉 ⋆k1 k𓇼𓆡𓆉 ⋆JP: 楽しかった♡ありがとうーおつIkey
1:22:32 | (Member (1 year)) *¥500* きにゃこ: :_heart::_heart::_heart:
