Timestamp,Name,Comment,Language
-1:28 , (Member (1 year)) Lunar Sinclair, :_EliraHeart::_EliraPenlight::_EliraHeart: Congrats on the 3D Elira! :_EliraHeart::_EliraPenlight::_EliraHeart: :_EliraYII::_EliraPPower::_EliraPPower::_EliraSheesh2:,en
-1:06 , (Member (6 months)) WatameVirus [WataFren], Congratulations for your 3D Ewiwa!!!:_EliraPog::_EliraSheesh1::_EliraSheesh2::_EliraSheesh2::_EliraSheesh1::_EliraHeart:,en
-0:26 , (Member (2 months)) panboii, Ewiwa Hypeboy!!!:_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraPenlight:,en
-0:21 , (Member (1 year)) TicoSuave, CONGRATULATIONS ON YOUR 3D EWIWAAAAA!!! :_EliraHeart:,en
-0:14 , (Member (6 months)) Wimp, LESSSGOOOOOO EWIWI :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
-0:09 , (Member (6 months)) Sanera," LET'S GO, ELIRA!:_EliraSheesh1::_EliraSheesh2::_EliraSheesh2::_EliraSheesh2::_EliraSheesh2::_EliraSheesh2::_EliraSheesh1::_EliraHeart::_EliraHeart::_EliraHeart:",en
-0:02 , (Member (2 months)) Natalie Y, 3D WEEWA :_EliraSheesh1::_EliraSheesh2::_EliraSheesh1::_EliraHeart:,en
0:56 , (Member (1 year)) StarlightUsagi, Congrats on 3D!!:_EliraHeart:,en
1:39 , (Member (6 months)) MegaGamin073, Congrats on 3D!!,en
1:43 , (Member (1 year)) Kosher Krackers, Rate up is a lie,en
1:44 , *CA$5.00* Virulent ビルレント, CONGRATS ON THE 3D!,en
1:54 , (Member (1 year)) Lero rin, CONGRATS ON THE 3D!!!!,en
1:55 , *$100.00* Vivek," Love at first light let's go, this is such a wonderful moment",en
1:59 , (Member (1 year)) YoungbloodBDG," WOOOO YEAH BABY! THAT'S WHAT I'VE BEEN WAITING FOR, THAT'S WHAT ITS ALL ABOUT! WOOOOO!",en
2:06 , (Member (1 year)) MisterJ0ker, ITS TIME,en
2:11 , (Member (1 year)) Raptara, RATE UP IS A LIE EWIWA,en
2:29 , (Member (1 month)) Mr. Krabs, CONGRATS ON 3D:party_popper::party_popper:,en
2:40 , (Member (2 months)) Fern," congratulations on the 3d, to many more memories:_EliraHeart::_EliraBOOBA:",en
2:49 , *$20.00* Birb," Grats on the 3d, it looks great!",en
3:07 , (Member (2 months)) Solanum, Love the 3d model its so cute!,en
3:30 , *¥500* あおいちゃん, CUTE:blue_heart:,en
3:32 , (Member (2 months)) LitigiousLlama, even the devil pikl is seiso,en
3:41 , *HK$50.00* jada tang, im almost crying!!! ewiwi lazulight gogogo!!!,en
3:45 , (Member (1 year)) Feralforever, :_EliraHeart:Congratulations 3D Ewiwa!!!!! :_EliraHeart:,en
3:46 ," *¥1,000* さーもん", :party_popper::party_popper::party_popper:,en
3:59 , *$5.00* NotoriousBSG82, Congrats on becoming 3D Elira! :blue_heart::blue_heart::blue_heart:,en
4:09 , *HK$100.00* elithea44, Ewiwa is so cuteeeeee,en
4:37 ," *IDR 20,000.00* vene", i love you wiwi congrats on the 3D debut :blue_heart:,en
4:39 ," *¥3,200* ツユゾラ", Congratulations！！！,en
4:44 , *¥200* ぐぅたら, Congrats on 3D Ewiwa:partying_face::sparkles:,en
4:45 ," *¥1,000* 右ねじ", New story,en
4:56 , *¥500* ゅ_, Congrats on 3D Ewiwa!!:party_popper::party_popper:,en
5:04 , *¥500* 柔らか仔猫ちゃん, 3D御披露目おめでとう:blue_heart::party_popper:,en
5:05 , *¥500* アマグモ, congratulation!!:party_popper::party_popper::party_popper:,en
5:23 , *£8.99* 🍌🍌Cherry Lee, 3D Let’s Goooooo Ewiwa:blue_heart::blue_heart::blue_heart:,en
5:25 , *¥500* イチ, Congratulations on your 3D！おめでとうエリーラ！,en
5:32 , *THB 69.00* Edenius, this is like a birthday present of mine congrats!:blue_heart:,en
5:38 , *€6.00* (P.I.L.M) Lucky Nag⚡️☁️," Congratulations on the 3d Elira, this is also way too funny",en
5:41 , (Member (6 months)) Drats, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
5:49 , (Member (1 year)) *$5.00* Fukuro Ch. 幻のフクロウ, 3D おめでとう！:party_popper::party_popper::party_popper::party_popper: I can feel memory's door opening!,en
6:03 , (Member (6 months)) あしがるる, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
6:07 , (Member (1 year)) Phinn The Phast, Congrats on your 3D!:_EliraHeart:,en
6:15 , *HK$250.00* futaru, congratulations on 3d,en
6:17 , (Member (6 months)) *$10.00* MightyBryGuy XX, CONGRATS ON THE 3D MODEL!,en
6:20 , (Member (6 months)) *$5.00* Solid Takezo, Congratulations on your 3D Elira! :_EliraHeart:,en
6:27 , (Member (2 months)) *$50.00* evedel09, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
6:39 , (Member (2 months)) 422เนตรภร อํานวยผล, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
6:47 , *CA$15.00* maru chan, MISS YOU FT PETRA BLESSSSSSS I7 RISE UP,en
6:56 , (Member (2 months)) Astral Dragon, This is amazing!!:_EliraHeart:,en
7:05 ," *¥3,200* zzzq【ざく】", Congrats to your 3D:party_popper:にじフェスで3Dえうぃわに大感激してこの日をずっと楽しみに待っていました:two_hearts:これからも応援していますSHEEEESH:smiling_face_with_hearts::smiling_face_with_hearts:,en
7:17 , (Member (1 year)) *MYR 15.00* kenny, CONGRATS ON 3D EWIWA!! actually hype ,en
7:20 ," (Member (1 year)) *IDR 20,000.00* David「Titaniampp」", congrats on 3D! so cute!,en
7:25 , (Member (6 months)) Makori, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
7:43 , (New member) *₱125.00* Skypen, Congrats on 3D Ewiwa!! ,en
7:48 , (Member (1 year)) Ebih, Congratulations on 3D Elira,en
7:59 , (Member (1 year)) Command Center," Such an amazing 3d model, and even more amazing singing:_EliraHeart::_EliraHeart::_EliraHeart:",en
8:03 , (Member (2 months)) Rime, 3Dおめでとう:party_popper:これからも大好き:_EliraHeart::_EliraHeart:,en
8:20 , (Member (1 year)) *$20.00* Chicken Bone," I think ""Love at First Light"" is super cute! cringe is dead and I'm ready to follow my heart! :_EliraHeart: Congrats on 3D it's soooo good!! :gem_stone:",en
8:27 , *¥500* ライカ, Congratulations on your 3D!!!,en
8:48 , (Member (1 year)) *$10.00* MataMataMata, CONGRATS ON 3D! :_EliraPog:We have reached new levels of cuteness. much love! :_EliraHeart:,en
8:49 , (Member (6 months)) *¥500* あしがるる, Congrats on 3D EWIWA!!!,en
8:52 , *$5.00* WireSun7, :blue_heart:CONGRATS ON 3D EWIWA:blue_heart:,en
8:54 , (Member (1 year)) *CA$10.00* Chiru, My bald oshi is too cute!!!,en
9:28 ," *¥3,200* もやし", Congratulations!,en
9:35 , (Member (6 months)) satin, Congrats on 3D Ewiwa!!! :_EliraHeart:,en
9:41 , (Member (6 months)) *HK$10.00* Koro, CONGRATS ON 3D EWIWA:blue_heart:,en
10:04 , (Member (1 year)) *A$5.00* Mr Simple, Ahhh 3D Elira!!! So cuuteee and congrats!!! ,en
10:18 , *¥500* まもつ, Congrats on 3D!!!,en
10:20 ," *¥5,000* ちづる", Congrats on 3D:partying_face::party_popper:,en
10:39 , (New member) *$10.00* Fren, congrats on 3D miss Ewiwa!!!!! :_EliraPien::_EliraHeart:,en
10:42 , (Member (1 year)) *$5.00* Melon Pan, CONGRATS ON 3D EWIWA! :blue_heart:,en
10:48 , *$10.00* AtomB, she's just a goofy gal,en
10:53 , (New member) *CA$10.00* Bianca," Congrats on your 3D debut, Ewiwa!! Making NijiEN history :blue_heart:",en
10:57 , *MYR 6.00* aeong, congrats on 3D ewiwa!!!,en
10:59 ," *¥2,434* ともりゅん", Congratulations to Elira 3D！:party_popper::party_popper::party_popper:,en
11:07 , (Member (1 year)) *€10.00* firnantok," WOOOOOO! YOU LOOK GREAT, BIG E!",en
11:11 , (Member (6 months)) *$10.00* rezrov13, Congrats on your 3D Elira! It's my birthday today and this is a great gift!,en
11:16 ," *NT$1,500.00* inekiいねき", エリーラちゃん3Dおめでとう！！！:loudly_crying_face::blue_heart:,en
11:23 , (Member (1 year)) Joy, The model looks so good! :_EliraELIKZ::_EliraPenlight::_EliraLipBite::_EliraPenlight:,en
11:31 , (Member (1 year)) *$2.00* wildnexus, EWIWA 3D IS REAL!!! WOOOO!!!!,en
11:36 , *¥320* Mio, Congrats on 3D Eliraaaa!!! すごくかわいいです！！:blue_heart::blue_heart::blue_heart:,en
11:42 , *¥320* FU-KA, THANKYOU:blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart:,en
11:44 , *CA$2.79* Dawn, CONGRATS EWIWAAA!!! :sun_behind_small_cloud::two_hearts::pleading_face:,en
11:51 , (Member (6 months)) YiMo, CONGRATS ON YOUR 3D EWIWA :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
12:05 , (Member (2 months)) Taishi Laforet Ch., congratulations on 3d! show the other eye!,en
12:17 , (Member (1 month)) kristel 🐮, Congrats ewiwa:_EliraPenlight::_EliraHeart::_EliraPenlight:,en
12:21 ," (Member (1 year)) *¥10,000* 坂の上のタモ / Tamo", Congrats on EWIWA's 3D!I've been looking forward to it for a long time.I'll always support you. I love you!,en
12:21 , (Member (1 year)) jub8891, congratulations on the new model Elira!,en
