-0:11 | (Member (2 months)) Berri Ran👹🧧: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:11 | (New member) あさぎ: もう眠い…秒で寝そう
-0:11 | Skyla スカイラ: Helloooo
-0:10 | (Member (1 month)) Vox's burned gloves: bye pre chat
-0:10 | (Member (2 months)) Ele Ita: bye prechat!!!
-0:10 | (Member (2 months)) Miserable L: :_MiPray::_MiPray:Hello
-0:10 | (Member (2 months)) Iris paracos: GANBAKUMA dakka
-0:09 | 可憐のAkumaㅋㅋㅋ: Daddy:red_heart::red_heart::red_heart:
-0:09 | nym hantei: i’m so nervous >~<
-0:09 | Nur: i joined just in time wooo
-0:09 | Line1026: Hiiiiiiiiiilllllloooowwww
-0:09 | (Moderator, Member (1 month)) Dakka A: Enjoy the stream kindreds~
-0:09 | (Member (2 months)) rabbit: LET'S GOOOOOO
-0:09 | Lampas: readdddddddy
-0:08 | Evren Ver: Bye prechat 
-0:08 | (New member) mamero: :_MiPray:
-0:07 | ⁽⁽ଘPriNcEsଓ⁾⁾: gl modsss
-0:07 | Minty Angel: lmao
-0:07 | (Member (1 month)) Senu: BYE PRECHAT :red_heart:
-0:07 | ping pong: let’s goooo hi chat!
-0:07 | nyn: hey chattt
-0:06 | Zyann Gloria: YOOOOOOO
-0:06 | •Cherie•: ALMOST TIME
-0:05 | (New member) andragneel_: :red_heart: :red_heart: :red_heart: 
-0:05 | Carina [Eta Carinæ]: I AM READY
-0:05 | (New member) hatdog mo: BYE NUNCHAT IM HEADING TO DC NOW
-0:04 | (New member) klepon: ganbakuma dakka!
-0:04 | (New member) Phoelle: :_MiSmile::_MiSmile:SLEEP ZZZZ
-0:04 | Lewis E.: Hi chat! Good day everyone ♡ Busy with chores so I'll just be lurking
-0:03 | Umi: :red_heart::red_heart::red_heart::red_heart::red_heart:
-0:03 | (New member) Jane Zhou: hi chat
-0:03 | (Member (2 months)) 靜静 JingJing: bb prechat
-0:03 | (Member (1 month)) Kobee : :red_heart::red_heart::red_heart::red_heart::red_heart:
-0:03 | II_zzzuuy. Hi: HI I am new here
-0:03 | Choice Multiple: Daddyyyyyyyyyyyyyyyyyyyy:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:03 | (Member (1 month)) 甘楽🌻: daddy:_MiPray:good morning
-0:03 | (Member (2 months)) Asellia: oh 1 more minutes, bye prechat~ LAST HUGS BEFOTE STREAM CHAT MUACH
-0:03 | (New member) QiQi: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:02 | (New member) cheeRIOs: WELL, BYEBYE PRECHAT:_MiSmile::_MiSmile:
-0:02 | (Member (2 months)) Berri Ran👹🧧: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:02 | Celeste: :baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel::baby_angel:
-0:01 | anonymouse: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:01 | Linyilu: im ready！！
-0:00 | ^hEh^: byee
-0:00 | D3M1.: Hi chat
-0:00 | Nian: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
-0:00 | (New member) Runa: :red_heart::red_heart::red_heart::red_heart::red_heart:
-0:00 | Ruby kindred: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hot_face::hot_face::hot_face::hot_face::hot_face:
-0:00 | LukaNeko Low: Pog
-0:00 | Callum: bye prechat
0:01 | Silent Spirit: Hello!
0:01 | 愛竜_Airyu: どきどき
0:02 | (Member (1 month)) Adhelheid ⚡🌌: :_MiPray::_MiPray::_MiPray:
0:02 | Nomi Vox Dady腳下的糯糯米糰: hi chat
0:02 | 白千千千河: Hi daddy
0:03 | Kaneshinro •: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:04 | (Member (2 months)) 🦋WETBAG🦋: Ayooooo
0:04 | (New member) karly: BYE PRECHAT :red_heart: <3 :red_heart:
0:04 | clarissa: Hello!Hello!Hello!
0:04 | (New member) marya: bye bye prechat parying for u all
0:04 | (New member) Jane Zhou: Hi Dakka
0:05 | 藍良限界瀕死P: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:05 | 既明: hm
0:06 | (New member) 小秋天Aki: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:06 | Variety シ: Yesss!!
0:06 | Yuchin Cho: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:06 | yuuu💭: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:06 | babe: Can’t wait
0:07 | ~ruirui~: Hi milord
0:07 | (New member) Changeable Eggplant: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:07 | Lea Zee June: Bye Prechat
0:07 | Elaine .[Vox Akuma's pet]: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:07 | Ronniepop: BYEE PRECHAAT!!!!!!!
0:07 | Milk牛奶: i love u mi lord!!!!
0:07 | (Member (2 months)) zan: POOOOGGG
0:08 | Hygge: daddy！！
0:08 | (New member) Beniqa: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:08 | (New member) ~Mallory~: bye prechat
0:09 | Luiza Tiron: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:09 | (Member (1 month)) Kobee : oh boi
0:10 | _Lauraaa.: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:10 | (New member) しの: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:10 | (New member) Lilac: There it is.
0:10 | (New member) Cello: hello chat:red_heart::red_heart::red_heart::red_heart:
0:10 | esterkakung_: hewo
0:10 | Sarah Algar: alright, in my jammies and ready to sleep amirite
0:10 | Krista: lets goooo
0:10 | (New member) 小秋天Aki: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:11 | 叶俞: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:11 | Tallulah Dean: this is going to be interesting
0:11 | GinnL T: :gorilla::gorilla::gorilla:
0:11 | (New member) Runa: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:11 | (New member) Randi: chat
0:11 | 「正夢」Masayume: Hello
0:11 | (Member (1 month)) Elio Lotl Ch. ウパーVtuber: milordddd
0:12 | (Member (2 months)) Hakuunya: :_MiSmile:
0:12 | (Moderator, Member (1 month)) Dakka A: 各位，直播即將開始，請務必遵守視頻介紹欄内的規則！開播之後不再進行答疑，如果進行與直播無關的聊天内容，將會被禁言，謝謝配合。
0:12 | (Member (2 months)) sako sakkon: :_MiPOG::_MiPOG::_MiPOG:
0:12 | KimGio: Hii :red_heart::red_heart:
0:12 | xiao: :ogre::ogre::ogre::red_heart::red_heart::red_heart:
0:12 | (Member (2 months)) shuu🐾: :red_heart::red_heart::red_heart::red_heart:
0:12 | Momo.Nekobud: Meeting ended, time to work and experience the live with all of Kindred 
0:13 | (Member (2 months)) Caraカラ: :_MiPOG:
0:13 | Night: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:13 | (New member) Ran Mochizuki : :red_heart: :red_heart: :red_heart: :red_heart: 
0:13 | bruhwtf😶: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:14 | (New member) Cherry Bread: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:14 | (Member (2 months)) 宮羽雪 hayuki: Let’s gooooooooooooooo 
0:14 | (New member) みゆもり[Miyumori]: Hi〜！:_MiSmile:こんばんは！:_MiSmile:
0:14 | jelly mian: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:14 | Anita C: eyyyyyy
0:15 | (New member) 𝙴𝚞𝙽𝚒𝙲𝚎𖠋𖠋: :_MiSmile::_MiSmile:hi chat
0:15 | (Member (2 months)) にび: こんばんは
0:15 | ⭐ SuJin 💤: byebye prechat
0:15 | (New member) ~Mallory~: love yall
0:15 | {HikarI}: YESSS
0:16 | ukiyo: one
0:16 | (New member) Naelyh {Angel} 🍒: bye prechat xd
0:16 | trlwah: hi!
0:16 | Giselle: hellooooo
0:16 | (New member) cheeRIOs: LESS ALL ENJOY TODAYS STREAM:_MiPray:
0:16 | mu: hiiiiiiiii
0:16 | (Member (2 months)) Akiyo: Hi chat:_MiPOG:
0:16 | (New member) Yumtinggg: hi iiiiiiii！！！！！！
0:17 | kiukiu1204: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:17 | Umlaut: I AM READY TO SIMP
0:17 | (Member (2 months)) 靜静 JingJing: he is on time 
0:17 | (Member (2 months)) Stellarflames: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:18 | (New member) VOXAGRA 👹🧧: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:18 | samu 👹: LET'S GOOOOOOO HI MILORDD
0:18 | Glue: LETS GOOOOOOO
0:18 | Lana [Vox's banana] 👹🧧: AKUCUDDLES LET'S GO :smiling_face_with_halo::red_heart::smiling_face_with_halo::red_heart::smiling_face_with_halo::red_heart:
0:18 | Joey Madonna: Bye prechat~
0:18 | (New member) Ireh: hi daddy:red_heart::red_heart::red_heart:
0:18 | (New member) あさぎ: 楽しみー
0:18 | (New member) Gwendolyn: hiiiiiii
0:19 | (Member (2 months)) OsmanthusWine: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:19 | Ayra Nur Hana: omgomgomgomg
0:19 | AdaErika: It''s like middle of the day in UK
0:19 | (Member (2 months)) Janiice 🍵: byeee prechat
0:19 | elyna lee: When will it start
0:19 | Niki Y: can't wait to d word
0:19 | Lin: So
0:20 | (New member) 霜降_Frost: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:20 | (Member (2 months)) deric | デリク: IKZZZZZZZZZ
0:20 | jackie nguyen: hellloooo!!
0:20 | (New member) 林大葶 DaTing: :red_heart::red_heart::red_heart::red_heart:
0:20 | 依凡 Yvonne: 謝謝Dakka:heart_suit:
0:20 | (Member (2 months)) Wei Tsai: ohhhhh
0:20 | Karolina: @Nutella 71 ahahahah go grab something to eat 
0:21 | (Member (1 month)) Senu: holy sheesh that was fast
0:21 | SmileWind_: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:21 | Ychen: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:21 | Lian: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:21 | Lan Nguyễn: HI MILORDDDDDDDDD
0:21 | (Member (2 months)) Stellarflames: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:21 | 安炅: !!!!
0:21 | (New member) u ka: dadyyyyyyyu
0:21 | ·[]夜雪snow[]·: :red_heart::red_heart::red_heart::red_heart:
0:22 | Tinyblade: YOOOOOOOOOOOOOO
0:22 | (Member (2 months)) yajino-ヤジノ: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:22 | rumin: hi chat
0:22 | (Member (2 months)) Ivonne💤: ohhh
0:22 | (New member) Changeable Eggplant: evening chat:_MiPOG::_MiPOG:
0:22 | CHOc0ra: BYE BYE CHATT
0:23 | (Member (2 months)) tahi: saku いってらっしゃい:waving_hand:
0:23 | 𝕊𝕙𝕚𝕜𝕒𝕕𝕒𝕚 𝕟𝕒𝕣𝕒: LETS GOOOOOOI
0:23 | Maku: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:23 | (New member) Jane Zhou: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:23 | (Member (1 month)) LimoNW: :_MiSmile:
0:23 | (New member) Ran Mochizuki : :red_heart: :red_heart: :red_heart: :red_heart: 
0:24 | (New member) Mitchie Soren: :_MiPray::_MiPray::_MiPray:
0:24 | 獨調dudiao: :red_heart::red_heart::red_heart:
0:24 | (New member) Auraaa ☾: Hi kindreds
0:24 | (New member) Soda👹: :red_heart::red_heart::red_heart:
0:24 | (New member) Runa: hi，daddy
0:25 | Hui Xue: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:25 | yaya: HI 
0:25 | (Member (1 month)) RinRin: ASMR let’s goooooo
0:26 | 顾鸦guya: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:26 | Sammy: IM READYYSYDDGSYD
0:26 | (Member (2 months)) 絮果{Rosa rubus}: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:26 | (New member) Akatsuki: lets gooooo
0:26 | 秋叶月璃Akiha Yueli: hi
0:26 | (New member) Yumtinggg: daddy!!!!!!!
0:26 | (New member) VOXAGRA 👹🧧: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:27 | (Member (1 month)) Bit: こんばんは
0:27 | Hermione Palmer: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:27 | (Member (2 months)) Nemui: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:27 | (New member) ~Mallory~: lets gooooo :red_heart:
0:27 | (New member) GANBA max: :_MiSmile::_MiSmile:
0:27 | (New member) Seattle: :_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile::_MiSmile:
0:27 | CHLOE_MAKASALANAN: :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
0:27 | Pack Rat: :red_heart::red_heart::red_heart::red_heart:
0:28 | Phantom Wolf: Good evening and good morning everyone!
0:28 | Lynn: :gorilla::gorilla::gorilla::gorilla::gorilla:
0:28 | LEONA_vv: hihi
0:28 | ash [aesthaek]: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:28 | Riri: Oh boy, here we go again :eyes:
0:28 | Eve､: :rose:((:red_heart:⥎:red_heart:)):rose:
0:28 | (Member (2 months)) 言-Yan👹🧧[vox's little flower]: :_MiPOG::red_heart::red_heart::red_heart::red_heart::red_heart:
0:28 | (Member (2 months)) Yoora Nium: :_MiPray::_MiPray::_MiPray:
0:29 | (New member) Tokiyuki Natsu: yeahhhhhhhhh
0:29 | (New member) Fan Yu👹🧧: hiii milord
0:29 | (New member) andragneel_: daddyyyy :red_heart: :red_heart: 
0:29 | 陳yun: good morning!!
0:29 | yummies: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:29 | (Member (1 month)) jeelorz: :heart: :heart: :heart: :heart: :red_heart: 
0:29 | (Member (1 month)) Ked•ZHKK: :red_heart::red_heart::red_heart::red_heart::red_heart::smiling_face_with_tear:
0:29 | Marie mi :3: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:29 | Julianne Zamora: YOOOOOOHHHH!!!
0:29 | (Member (1 month)) Vox's burned gloves: omg omg omg
0:30 | (Member (2 months)) Remi: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | Vane: hiiiiiiii
0:30 | Ailina: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | yu-siou: :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
0:30 | Nantang: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | (Member (2 months)) 靜静 JingJing: no bgm milord!
0:30 | (New member) karly: ikz asmr
0:30 | AGIS: voxxx
0:30 | ハニ: hello～～～:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | (Member (2 months)) Nemui: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | NAOMYSTA: EYYYYYYYYY
0:31 | PLUTO**: daddy！！！！！！！！！！！！！！！！！！！！！！！！！！
0:31 | TAGZDG: IT STARTEDD
0:31 | (New member) Geolia🐈🍬: HIIIII everyone~
0:31 | (New member) ice tea: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | 金在萱: Let’s go!!!!!!!
0:31 | Coco Nut: :red_heart::red_heart::red_heart:
0:31 | daizydiff: Hi chattt
0:31 | (New member) pofu_nyanya: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | Rayla Lilac: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | (Member (2 months)) Moririn: :red_heart::red_heart::red_heart::red_heart:
0:32 | (New member) LuckyLcorn: hello！！！！
0:32 | (Member (1 month)) Shay: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:32 | Yukito.: hello milord
