-0:13 | (Member (2 months)) シキマリ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:12 | mi ho: たからだち…がんばって生きよう…
-0:12 | K.T: oh im still not ready
-0:12 | Uzuen: :orange_heart::orange_heart::orange_heart:
-0:12 | (Member (2 months)) アイス: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:11 | DrinKing: pog！！
-0:11 | (New member) ぼあ: :_AlbanHype::_AlbanHype::_AlbanHype:
-0:11 | (Member (1 month)) aiyaaim: :_AlbanNya::_AlbanNya::_AlbanNya:
-0:11 | (Member (1 month)) 夏: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:11 | 涼羅木あげは(ageha): ﾊｧｯ……ﾊｧｯ…………
-0:11 | (Member (1 month)) Pa Shi: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:10 | (Member (2 months)) Keru: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:10 | bruh: IKZZZZZZ :handshake::handshake::handshake:
-0:10 | (Member (1 month)) 💎 Lezu [Alban'sDiamond]: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:09 | (New member) さや: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:09 | (New member) SuuMe🌨: good bye my life :headstone:
-0:09 | (Member (1 month)) ちーちゃん: ドキドキ
-0:09 | 薰醬: let's goooooo
-0:09 | 鳶: IKZZZZZZZZZZZ
-0:08 | (Member (1 month)) LawHu: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:08 | (New member) Cuddle: :_AlbanIKZ:
-0:08 | shu nyanmino: WOOOO
-0:07 | (Member (2 months)) Mini ⭐️: letsgoooooo
-0:06 | ตต: :orange_heart::orange_heart::orange_heart:
-0:06 | (Member (2 months)) LiA🎀: Hi everyone 
-0:06 | (Member (1 month)) 桜井(Sakurai): :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:06 | (New member) 貓毛maoo máo: :_AlbanHype::_AlbanHype::_AlbanHype:
-0:06 | (Member (2 months)) coco: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:05 | 許子芹: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
-0:05 | (New member) なちお: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:05 | (Member (1 month)) もりもりおまめ: DOKI DOKI…:loudly_crying_face::growing_heart::collision:
-0:05 | (New member) Jaykuss: :buffering::buffering:
-0:04 | セメントの森: im so nervous…
-0:04 | (New member) ぼあ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:04 | (Member (2 months)) みうた【Miuta】: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:04 | (Member (2 months)) Mini ⭐️: :_AlbanNya::_AlbanNya::_AlbanNya:
-0:03 | (New member) らむえりー🎭🕒: _(┐「ε:)_
-0:03 | (New member) しょこらんぬSyoko-rannu: たからだちのみんな……生きて帰ろうね:_AlbanCry::_AlbanCry::_AlbanCry:
-0:03 | りん: :orange_heart::orange_heart::orange_heart::orange_heart:
-0:03 | kristel 🐮: IKZZZZ
-0:03 | (Member (2 months)) ** Haruni: :_AlbanNya::_AlbanNya::_AlbanNya:
-0:03 | (New member) いあ: ありがとう本当にありがとう
-0:02 | Kailiko: i cant watch asmr because i usually get too flustered so this is gonna be an endurance for me frfr
-0:02 | ホタル Hotaru: もうすぐはじまるーーー！！
-0:02 | (Member (2 months)) blue cherry: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
-0:02 | (New member) ねぎねぎ: 心臓が持つだろうか
-0:01 | DrinKing: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
-0:01 | Riho: こんばんは！
-0:01 | (Member (2 months)) さき: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
-0:00 | (Member (2 months)) めかぶちゃん: 心臓がいたいーーー！
0:01 | 海雲(みくも)れむ: IKZZZZZZZZZZZ
0:02 | (Member (1 month)) kanae: みんな:_AlbanIKZ::handshake::_AlbanIKZ::handshake::_AlbanIKZ:
0:02 | (Member (1 month)) もえらき: :_AlbanIKZ::_AlbanIKZ:
0:02 | (New member) らむえりー🎭🕒: 0(:3 _ )～
0:02 | 灰塵huī chén: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
0:02 | SHARKBAIT : :orange_heart::orange_heart::orange_heart:
0:02 | d3stinyyz: AAA :handshake::handshake::handshake:
0:02 | (Member (1 month)) せな: たのしみすぎる〜！！:_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:03 | (New member) かなちゃ: :_AlbanGlowstick::_AlbanGlowstick::_AlbanGlowstick:
0:03 | (Member (2 months)) Ace 【FulltimeTakaradachi】: l-l-l-lets go
0:04 | (Member (2 months)) mono drama: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:04 | (Member (2 months)) Mini ⭐️: i am NOT ready :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:04 | (New member) ajiangcutecute: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:04 | niell: LET'S GOOO!!
0:04 | 🧡Kurikonya🧡: IKZZZZZ
0:05 | (Member (2 months)) 東-あずま: :_AlbanIKZ:
0:05 | (New member) Sora usagi: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:06 | (Member (1 month)) Corn 2.0 🌽: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:06 | (Member (1 month)) 秦沅Lillian: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:06 | (Member (1 month)) 💎 Lezu [Alban'sDiamond]: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:07 | Joku: AAAAAA
0:07 | (New member) しょこらんぬSyoko-rannu: 誕生日まで死ねない□□□
0:07 | (Member (1 month)) aira •∆•: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:07 | (New member) Winter Draconia: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:09 | Snow_羊兒: Hello chat !!
0:10 | (Member (2 months)) blue cherry: i am totally not ready for this
