-0:26 | (New member) ir-chan: Hugs for everybaady □□
-0:26 | Shiiiiiinnnn: hey hey hey
-0:25 | (Member (2 months)) SoenHeit: □□□
-0:25 | (Member (2 months)) チイミ: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:25 | (Member (2 months)) Bianca???: □□□
-0:23 | K1k0: HUGGGGG :red_heart:
-0:23 | (Member (2 months)) SS_Shi Ming: HUGGGGS
-0:23 | (Member (2 months)) Saj: yall remember the rules for normal streams!
-0:22 | (Member (1 month)) Xeijin: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:21 | Ruff Rabbit: i wanna be a member for everyone but im broke, sadge
-0:20 | (Member (1 month)) Aomiyy: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:20 | (New member) 阿凜: □□□
-0:20 | pip: i feel my emoness colliding
-0:19 | Mary: TY FOR THE GROUP HUGS :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::red_heart:
-0:17 | (Member (2 months)) LJoy1522: :_MembaaaHeart::_MembaaaHeart::_MembaaaHeart:
-0:17 | Estelle: yeyyyy! hihi
-0:17 | Ami Shaw: My heart is so full right now!!! So warm and fuzzy!
-0:17 | (Member (2 months)) zera: □□□
-0:16 | Julie S.: This made me legit happy, this community and Fuu-chan himself is fucking wholesome, I can't :loudly_crying_face::heart_suit:
-0:16 | Mauricio Aguilar: :red_heart::red_heart:
-0:16 | pehboobutter: walang tagay pre kape lang muna :rolling_on_the_floor_laughing:
-0:15 | (New member) Stardust: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:14 | (Member (2 months)) 🐑Auri🐏: :_MembaaaHey::_MembaaaCry::_MembaaaHey:
-0:14 | (Member (2 months)) SoenHeit: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:13 | (Member (2 months)) Viki: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:13 | Yuliya Akira: FUCHAN CHANGED THE LYRICS DEDICATED FOR UKI AND NOCTYX :loudly_crying_face::loudly_crying_face::loudly_crying_face:
-0:12 | wattle_: hugs to chat :people_hugging::people_hugging:
-0:12 | (New member) Mies J. R: LOVE DRINKING WHILE CRYING
-0:11 | (Member (2 months)) Pandan ✿: The karaoke is unarchived sadly
-0:11 | (New member) Kanon: :_MembaaaHey::_MembaaaHey::_MembaaaHey:
-0:10 | Shiiiiiinnnn: HUGSSS
-0:10 | Kyrie of the stars: okay! :thumbs_up:
-0:09 | KenXkz1: i was 1 hour late :grinning_face:
-0:09 | John King: I’m gonna miss emote spamming 
-0:08 | (Member (1 month)) maru: □□□
-0:07 | (Member (1 month)) Kelly Kwok: I’m still crying sorry…
-0:07 | Ezra von brandt: we went to rick roll to emotional damage lmao
-0:07 | Tod_.: hugs for everyone!!
