-0:03 | (New member) Kuma: HAPPY BDAY TAICHOU :_sonnyLight::_sonnyLight:
-0:03 | (New member) chz: :microphone:(^o^)7:birthday_cake: LETS GOOOOO
-0:03 | arney :D: :comet::comet::comet:
-0:03 | (New member) Dollysheep: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyLmao:
-0:03 | (New member) ミミえ[mimi]: :_sonnyNipaa::_sonnyNegi::_sonnyNegi::_sonnyNegi:
-0:03 | Jasmine虎耳: :birthday_cake:
-0:02 | lucy leondale: happy birthday~
-0:02 | (New member) すいう: :_sonnyLight::_sonnyNegi::_sonnyLight:
-0:02 | al: HAPPY BIRTHDAY 
-0:02 | (New member) NicoNeko: :_sonnyLight::_sonnyLight::_sonnyLight:
-0:02 | Nao ⟡: Brrrrrrr
-0:02 | (New member) トパイYiJie: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
-0:02 | 千理/センリ: Happybirthday!!!
-0:02 | (New member) Anna E.: :_sonnyNegi::_sonnyLight::_sonnyNegi:
-0:02 | (New member) babychii: omg omg Happy Birthday:_sonnyLove::_sonnyLove::_sonnyLove:
-0:02 | (New member) Akira·アキラ: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
-0:02 | (New member) Saji: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyLight::_sonnyLight::_sonnyLight:
-0:02 | (New member) そふとめん: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyLight::_sonnyLight:
-0:02 | (New member) らるん: :_sonnyLight::_sonnyLight::_sonnyLight:
-0:02 | 不亡鸟: Let's gooooooooooooooo
-0:01 | (New member) まめちゃん: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
-0:01 | エラン: 誕生日おめでとうー！！！
-0:01 | Kurea: Happy Birthday:pleading_face::pleading_face::pleading_face:
-0:01 | (New member) 蝦味人生 Sya gu: :_sonnyBlush::_sonnyBlush:
-0:01 | (New member) ぐみです: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
-0:01 | テト*: たのしみー！
-0:01 | neotea: HAPPY BIRTHDAYYYYY:yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:01 | 詠茹 陳: finally~
-0:01 | YukiNagato998: Happy birthday!!!
-0:01 | 리아LIA: IKZZZ
-0:01 | (New member) Sayaka 🍁: :_sonnyLight::_sonnyNegi::_sonnyLight:
-0:00 | Man Chi: Happy birthday!!!!!!
-0:00 | Yali-llian: LETSSSSSSSSSSSSSSS GOOOOOOOO
-0:00 | (New member) dg: :_sonnyLight::_sonnyBlush::_sonnyNegi:
-0:00 | (New member) Beebo: 3 emoji limit guys
-0:00 | (New member) みっき🐑Mikki Ta-chan: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
-0:00 | Judithanima: Happy birthday Taichou! You can do this!
-0:00 | (New member) na•no: :microphone:(^o^)7:birthday_cake:
-0:00 | (New member) Saliscorner🖋️💙: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
-0:00 | (New member) Ryu sei: :_sonnyLight::_sonnyLight::_sonnyLight:
-0:00 | (New member) つじ: :_sonnyBaibai::_sonnyBaibai::_sonnyBaibai:
-0:00 | Chjs Xns: :goodvibes:
-0:00 | (New member) りんり.: :_sonnyLight::_sonnyLight::_sonnyLight:
-0:00 | (New member) Ran: :_sonnyNegi::_sonnyLove::_sonnyLight:
-0:00 | (New member) Arthy: HBD Taichouu
-0:00 | (New member) isshoni: Happy bd taichou:_sonnyKeirei::_sonnyLight::_sonnyLove:
-0:00 | (New member) こたろー: IKZZZZ!!!:_sonnyNegi::_sonnyLight::_sonnyNegi:
0:00 | (New member) 宇文_yuwenlian: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:00 | (New member) KOI: :microphone:(^o^)7:birthday_cake:
0:00 | Sanz1e: :birthday_cake::party_popper:
0:00 | (New member) OGAMI: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:00 | deric | デリク: :microphone:(^o^)7:birthday_cake:
0:00 | (New member) なっちゃん🌈: :_sonnyNegi::_sonnyNegi:
0:01 | Shelly Chen: :DDDDDDDDDDDDDDD
0:01 | つむぎ: HAPPY BIRTHDAY！！！！
0:01 | suAnn: Happy Birthday Taichou!! 
0:01 | (New member) トパイYiJie: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:01 | Hanniepie: HELLO EVERYNYAN!
0:01 | TicketCYL票根🦘: :microphone:(^o^)7:birthday_cake:
0:01 | Gerlie Mae: Oh my god the membership
0:02 | (New member) たまごおい: :_sonnyLight::_sonnyLight::_sonnyNegi:
0:02 | (New member) YUQIN: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:02 | (New member) wwingg: Happy birthday Taichou:_sonnyKeirei::_sonnyKeirei:
0:02 | (Moderator, New member) ShyLee: :microphone:(^o^)7:birthday_cake: 
0:02 | (New member) Space: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:02 | (New member) Mashroom Gu: :microphone:(^o^)7:birthday_cake:
0:02 | みゆmiyu: LETSＧＯＯＯＯＯＯＯＯＯＯＯＯＯＯＯＯＯＯＯ
0:02 | (New member) 9900: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:02 | 愛·Cindy Cheng: Happy Birthday Taichu negi power Let's gooo
0:02 | bvmbri: :yellow_heart::yellow_heart:
0:02 | Mina. S: HAPPY BIRTHDAY:yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:02 | (New member) Grims Monarch Ch.: :_sonnyLmao::_sonnyLmao::_sonnyLmao:
0:02 | (New member) ーーーあいす: :_sonnyKeirei::_sonnyKeirei:
0:02 | (New member) ゆう: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:02 | (New member) kisumin: :microphone:(^o^)7:birthday_cake:
0:02 | はな: HAPPY BIRTHDAY TAICHOU:yellow_heart::yellow_heart::yellow_heart:
0:02 | MinS: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:02 | lil: HAPPY BIRTHDAY :yellow_heart::yellow_heart:
0:03 | (New member) ray♡: :_sonnyLight::_sonnyNegi::_sonnyLight:
