-0:22 | keyyyl: hi ukiii
-0:22 | (Member (2 months)) Adhelheid ⚡🌌: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:20 | Kwenn: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
-0:20 | (Member (2 months)) Tsuki Rei: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:20 | ruu!!: IKZ
-0:20 | (New member) あぬらーふ: :_UkiComfy::_UkiComfy::_UkiComfy:
-0:19 | azusa: :purple_heart::purple_heart::purple_heart:
-0:19 | (New member) 可湖KeHu: :_UkiComfy::_UkiComfy::_UkiComfy:
-0:19 | (Member (1 month)) bluesunset.: Heyyyy:_UkiWahh:
-0:18 | kiki: :purple_heart::purple_heart::purple_heart:
-0:18 | YuuKio Yuuya: Hello guys!
-0:15 | (Member (2 months)) Vinny : :_UkiHeart::_UkiHeart::_UkiHeart:
-0:15 | (New member) A. Feylin (a bobstake)🐝: It's almost hereee
-0:14 | (Member (1 month)) ARitsu_SNCat: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:14 | (New member) nanami: ikz
-0:14 | (New member) ジュン: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:13 | 瑶池: hi
-0:13 | _R26: this is sol good for my timezone its literally night right now
-0:12 | 🧧MayShui🎡: Hiiii:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
-0:11 | Satoru&Shoto: !!!!!
-0:10 | (Member (2 months)) Sookie: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:10 | (Member (1 month)) ukifever: :_UkiComfy::_UkiComfy::_UkiComfy:
-0:10 | Iris: Hiii
-0:10 | (Member (1 month)) Nouz: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:10 | zenstta: ukiiii
-0:09 | (New member) まりあんMarian: HI CHAT:_UkiHeart::_UkiHeart::_UkiHeart:
-0:09 | saun: :purple_heart::purple_heart::place_of_worship::place_of_worship:
-0:08 | (New member) 刘小树Crisp: lets
-0:08 | (Member (2 months)) Limi: HI UKIIII
-0:07 | Ghost: eeeeee
-0:07 | (Member (1 month)) Belisa: Hihi
-0:07 | (Member (1 month)) Myra: :_UkiComfy::_UkiComfy::_UkiComfy:
-0:06 | (Member (2 months)) Susie: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:06 | n and js: Ukiiiii~~~~~
-0:06 | (Member (2 months)) RaiiDayoo!: :_UkiComfy:
-0:05 | (Member (2 months)) Tatar!: Hi everyone:_UkiHeart:
-0:05 | Imma eatcheese: Cosmenide-i was at a festival and i left for the stream hehe- lmaoo
-0:04 | nothing_: hiii
-0:04 | 咸鱼.: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
-0:04 | (New member) u萧: :_UkiComfy::_UkiComfy::_UkiComfy:
-0:03 | (Member (2 months)) *･Purpy｡.ﾟ+: :_UkiHeart::_UkiHeart::_UkiHeart:
-0:02 | (Member (1 month)) Myra: hi guys
-0:02 | Ash Lynx: Hello chat :waving_hand::waving_hand:
-0:02 | (Member (2 months)) Ji Han: i just ate my breakfast get ready to sleep again :_UkiPat:
-0:02 | Bliss☆Kitə: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
-0:01 | (Member (1 month)) yushima: Hi everyone:_UkiHeart:
-0:01 | (Member (1 month)) Rua Olivier: I went looking for my headphones for like 15 mins for this lmao 
-0:01 | 기은 ChiChi: I should sleep but I really want to watch this stream…
-0:00 | gege: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
-0:00 | 从安: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:00 | Cosmenide: yeaaah 10pm here
0:00 | (New member) 刘小树Crisp: lets gooooooo
0:00 | (Member (2 months)) Lesley: :_UkiHeart::_UkiHeart::_UkiHeart:
0:00 | (New member) Jasmine: :_UkiHeart::_UkiHeart::_UkiHeart:
0:01 | (New member) Yvonne xi: :_UkiComfy:
0:02 | Imma eatcheese: hi ukii
0:02 | (New member) 染易 ran yi: :_UkiHeart::_UkiHeart::_UkiHeart:
0:02 | (New member) Hurricane悯悯: morning everyone:_UkiHeart:
0:02 | Ghost: ukiukiuki 
0:02 | ruu!!: yey yey lets gooo
0:02 | (Member (1 month)) åiyåå (ej): :_UkiHeart::_UkiHeart:
0:05 | Victoria San: hi
0:06 | (Member (2 months)) Sapphire: :_UkiHeart::_UkiHeart::_UkiHeart:
0:06 | 咸鱼.: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:06 | (Member (1 month)) Reppepmint: Sleepp~:_UkiComfy::_UkiComfy:
0:06 | kiki: Happy to ear that yongie :purple_heart:
0:06 | soap: i just woke up and i an present!!
0:07 | Shine Ye: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:07 | (Member (1 month)) Azsaki: :_UkiHeart::_UkiHeart::_UkiHeart:
0:07 | (Member (2 months)) Mo ♡: :_UkiHeart::_UkiHeart::_UkiHeart:
0:07 | gege: i can finally make it:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:10 | (Member (2 months)) ナインティーン (nineteen): IKZ!
0:10 | Bleep: ikz~
0:10 | (Member (1 month)) Maki: hii
0:11 | nothing_: its 7:00pm for me rn wbyall?
0:11 | (Member (2 months)) Melody2601: :_UkiHeart::_UkiHeart::_UkiHeart:
0:11 | (Member (2 months)) silverneko🐈小猫ちゃん: Are your headphones/earbuds ready?
0:11 | (Member (2 months)) Adhelheid ⚡🌌: :_UkiHeart::_UkiHeart::_UkiHeart:
0:12 | (Member (2 months)) Katsuki: :_UkiHeart::_UkiHeart:
0:12 | Imma eatcheese: ads
0:12 | (Member (1 month)) cherryline: :_UkiHeart::_UkiHeart::_UkiHeart:
0:13 | tanimqtamo: :purple_heart::purple_heart::purple_heart:
0:14 | Moonchild 🌙: helloo :purple_heart:
0:15 | (Member (2 months)) Sakio: :_UkiHeart::_UkiHeart::_UkiHeart:
0:15 | (Member (2 months)) Murasaki: hi:_UkiHeart:
0:16 | リリア : let's gooooo
0:16 | (Member (2 months)) よしろう: It's 11 a.m. and I'm ready for bed.
0:16 | (New member) mua smile: Poooog:_UkiCheer1::_UkiCheer1::_UkiCheer1::_UkiCheer1::_UkiCheer1:
0:18 | (Member (2 months)) 亞特蘭提斯 Atlantis: :_UkiHeart::_UkiHeart::_UkiHeart:
0:18 | (Member (2 months)) Susie: morning everyone
0:19 | OREO: THAT SCARED ME LMAO
0:19 | (New member) XINYI: hi hi
0:19 | (Member (1 month)) ぶれ: :_UkiHeart::_UkiHeart::_UkiHeart:
0:20 | kaws: ⍢⃝
0:20 | Swag_bubble00: Morning :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:20 | Tactical bunfare: hi
0:21 | saori: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:21 | Froggy Scraps: hello everyone : D
0:21 | (Member (2 months)) まなつ: Hi Uki:_UkiHeart:
0:22 | (New member) ald ˘ ᵜ ˘: :_UkiHeart::_UkiHeart::_UkiHeart:
0:22 | Imma eatcheese: hell yea
0:22 | (New member) Lady M: :_UkiHeart::_UkiHeart::_UkiHeart:
0:22 | (Member (2 months)) myana: byebye prechat:_UkiWoo1:
0:22 | tam: i’m excited~~~
0:23 | Yongie: ah it's starting :purple_heart:
0:23 | (Member (2 months)) Adhelheid ⚡🌌: :_UkiHeart::_UkiHeart::_UkiHeart:
0:24 | (Member (2 months)) reader: :_UkiWahh::_UkiWahh::_UkiWahh:
0:24 | (Member (2 months)) Leimomi: :_UkiHeart::_UkiHeart:Hello
0:25 | shyn: Ukiiiii aaaahhh
0:25 | (New member) helena: :_UkiComfy::_UkiComfy::_UkiComfy:
0:25 | sho_mrt16: Hello!
0:25 | (New member) vikiviki: :_UkiHeart::_UkiHeart::_UkiHeart:
0:26 | Kitty MadCat: hii
0:26 | Mar_rinnn: LETS GOOOOOO
0:27 | (Member (1 month)) Belisa: :_UkiHeart::_UkiHeart::_UkiHeart:
0:28 | mati: <HIII
0:29 | (Member (1 month)) ARitsu_SNCat: :_UkiHeart::_UkiHeart::_UkiHeart:
0:29 | (New member) たね: :_UkiComfy::_UkiComfy:
0:30 | Gozue: AAAAA UKIIIIIIIIIIIIIII
0:30 | hunter.: Hi
0:30 | DemonicShadow 2211: It’s literally 4am and I haven’t slept all night pls help
0:30 | Imma eatcheese: hi ukiiiiiiiii
0:30 | (Member (2 months)) しおん·: :_UkiHeart::_UkiHeart::_UkiHeart:
0:30 | Cosmenide: jumpscare
0:31 | (Member (1 month)) Wii🔮: Uki uki daisuki:_UkiComfy::_UkiComfy::_UkiComfy:
0:31 | (Member (2 months)) jani ♪: ukiii hello
0:31 | 可可: Hi :purple_heart::purple_heart::purple_heart:
0:31 | (Member (2 months)) Caramon: :_UkiHeart::_UkiHeart::_UkiHeart:
0:32 | (Member (2 months)) yushichu: Hi Uki:_UkiHeart::_UkiHeart:
0:32 | Ningers: bye bye prechat
0:32 | Exist: Hi Uki 
0:32 | 咸鱼.: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:32 | TTOKO: Morning<3 
0:33 | R G: hello
0:33 | (New member) 刘小树Crisp: :_UkiHeart::_UkiHeart::_UkiHeart:
0:33 | Master Dono: Hello
0:33 | (Member (1 month)) ᴋᴀᴏʀᴜ: :_UkiHeart::_UkiHeart::_UkiHeart:
0:33 | (Member (2 months)) AmzBlue: :_UkiHeart::_UkiHeart::_UkiHeart:
0:33 | (Member (2 months)) TigerLily: Yay!!!
0:34 | tanimqtamo: uwaaah
0:34 | minukie: Hellooo
0:34 | kpaiko: hellooo :purple_heart::purple_heart::purple_heart::purple_heart:
0:34 | Aimi _C: Hi ukiii
0:34 | LEVI5T5Ash: baby!
0:35 | sin 2.0.0.2: helloooooooo
0:36 | ruu!!: bye prechat!!
0:36 | Kwenn: i hope everyone's days have been well! ^^
0:37 | (Member (2 months)) silverneko🐈小猫ちゃん: Hi Uki :_UkiHeart:
0:37 | (Member (1 month)) archie: LET'S GOOOOO
0:37 | (Member (2 months)) Ruinemu: :_UkiHeart::_UkiHeart::_UkiHeart:
0:38 | (Member (1 month)) 🩷PINK리오나🩷: Hi uki:_UkiHeart:
0:38 | Imma eatcheese: hii good evening
0:39 | TaiDaNa WaMu: hiiii
0:39 | (Member (2 months)) chen chen: :_UkiHeart::_UkiHeart::_UkiHeart:
0:39 | (Member (1 month)) Mister Zoo: おはようございます！
0:39 | (Member (2 months)) Murasaki: :_UkiHeart::_UkiHeart::_UkiHeart:
0:39 | (New member) summer夏: :_UkiCheer1::_UkiHeart::_UkiCheer1:
0:40 | Khaotommai: :purple_heart::purple_heart::purple_heart:
0:40 | shyn: Babyyywhjwbskaka
0:40 | Bliss☆Kitə: YES :purple_heart::purple_heart::purple_heart::purple_heart:
0:41 | (Member (1 month)) Tree🎄: Hi uki:purple_heart::purple_heart:
0:41 | s: HELLO UKIIIIII
0:41 | c: ukkiiii
0:42 | Kazumi: hey uki
0:42 | (Member (1 month)) YuanYuan媛媛: :_UkiWoo1::_UkiWoo1::_UkiWoo1:
0:42 | (Member (1 month)) Tam Tam: :_UkiHeart::_UkiHeart::_UkiHeart:
0:42 | (Member (1 month)) archie: :_UkiHeart::_UkiHeart::_UkiHeart:
0:42 | (Member (2 months)) RaiiDayoo!: :_UkiHeart::_UkiComfy:
0:42 | •A_proudsimpUwU•: hello uki!!
0:42 | YuuKio Yuuya: :purple_heart::purple_heart::purple_heart:
0:43 | zenstta: Hi ukiiii :purple_heart::purple_heart::purple_heart:
0:43 | Meichan : :purple_heart:
0:43 | (New member) u萧: uki:_UkiHeart::_UkiHeart::_UkiHeart:
0:43 | rin.: Hi ukiiii
0:43 | RainyBBH: Omg I can’t wait woooo!
0:43 | 기은 ChiChi: Hi Uki!!!!
0:43 | Dan Heng: hello~:purple_heart:
0:43 | Azhuoo: Hiiiii！
0:44 | 咸鱼.: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:44 | 吃呱的a: :purple_heart::purple_heart::purple_heart:
0:44 | QuietMutt: hi uki
0:44 | kiki: :purple_heart::purple_heart::purple_heart:
0:45 | Katherine cai: hello
0:45 | Liv!!!: hii
0:45 | (New member) UFO 29: :_UkiHeart::_UkiHeart::_UkiHeart:
0:46 | (New member) 버미배: :_UkiCheer2::_UkiCheer1::_UkiCheer2::_UkiCheer1::_UkiCheer2::_UkiWoo1:
0:46 | (Member (2 months)) マトゥイディ: Hiiiii
0:46 | (New member) Nasu: LET's Goooooooo
0:46 | (Member (1 month)) ぶれ: :_UkiComfy::_UkiComfy::_UkiComfy:
0:46 | OOOTAY: should I sleep at 10 a.m
0:47 | larakim2011: hii ukii
0:47 | (Member (2 months)) Ka Ka: :_UkiFuufuu::_UkiFuufuu::_UkiFuufuu:
0:48 | (New member) atomic.z: :_UkiHeart::_UkiHeart::_UkiHeart:
0:48 | (Member (2 months)) Ji Han: uki uki daisukii :_UkiHeart:
0:48 | (Member (2 months)) yuyu-chan: :_UkiHeart::_UkiHeart:
0:48 | (Member (1 month)) ukifever: :_UkiHeart::_UkiHeart::_UkiHeart:
0:49 | (Member (2 months)) AmzBlue: Hi Uki :purple_heart::purple_heart:
0:49 | Kitty MadCat: hi uki :purple_heart::purple_heart::purple_heart:
0:49 | uzay: Hello hello!!!
0:49 | (Member (2 months)) しおん·: :_UkiHeart::_UkiHeart::_UkiHeart:
0:49 | Imma eatcheese: bye pre-chat hello stream
0:49 | (Member (2 months)) Nachovy_: morning:_UkiHeart:
0:50 | ry: hiiiii uki
0:50 | (New member) Sunny C: :_UkiHeart::_UkiHeart::_UkiHeart:
0:50 | (New member) mira: ohayuki:_UkiHeart:
0:51 | yumi ૮ ˶ᵔ ᵕ ᵔ˶ ა: bye prechaaat :purple_heart:
0:51 | luna Estelle: UKIIII
0:51 | (Member (1 month)) lala: eyyyyyy:_UkiHeart:
0:52 | cony: hiiiiiii
0:52 | Créme: Hi Uki!
0:53 | 咸鱼.: :purple_heart::purple_heart::purple_heart:
0:53 | Bottled._.Genie..: UKI UKI DAISUKI
0:53 | ゆきなyukina: hi uki:purple_heart::purple_heart::purple_heart:
0:53 | Exist: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:54 | Kuro kessho: Helloooooo
0:54 | Ghost: STARTING SO SOOOONNNN
0:54 | Ruri: :purple_heart::purple_heart::purple_heart::purple_heart:
0:54 | BadAkatsukifangirl: :purple_heart::purple_heart::purple_heart::purple_heart:
0:54 | Yongie: bye prechat and hello uki!:purple_heart:
0:55 | (New member) Fairy Hsu: :_UkiHeart::_UkiHeart:
0:55 | Ningers: hi uki
0:55 | edgyawns: :purple_heart::purple_heart::purple_heart:
0:55 | (New member) 云慧YUN HUI: :_UkiHeart::_UkiHeart::_UkiHeart:
0:55 | Yushan Guo: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:56 | Katherine cai: hi
0:56 | (Member (2 months)) gris: LET'S GOOO
0:56 | アン: HELLO
0:56 | (New member) 🔗채tsaiyiyiyi일🥽: Yeahhhh Uki
0:57 | MONDAY: man I just got out of bed I don’t wanna go back in
0:57 | (New member) タン塩: :_UkiComfy:
0:57 | POG EVERYONE POG: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:57 | (New member) 刘小树Crisp: :_UkiPat:
0:57 | Amy ☆⋆｡𖦹: have a nice day chattt
0:57 | Yannick: WIIII
0:57 | rin.: intro pogggg:shelterin:
0:57 | 美晴: 楽しみ！！
0:58 | ㅤTAEㅤ: :purple_heart::purple_heart::purple_heart:
0:58 | •Ayana•: Hello!
0:58 | PixieNyx!: HI UKI
0:58 | the other axel: UKIIIII 
0:58 | (Member (2 months)) myana: :_UkiHeart::_UkiHeart::_UkiHeart:
0:58 | chiffion - hiatus: MORINGGG
0:58 | (Member (2 months)) nonoe: Hi Uki Hi Stargazers 
0:59 | Dilara lol: HIIII:purple_heart::purple_heart::purple_heart:
0:59 | Swag_bubble00: It’s 10:00am in HK 
1:00 | (Member (2 months)) みゆき(Miyuki): :_UkiHeart::_UkiHeart:
1:00 | (New member) XINYI: :_UkiHeart::_UkiHeart::_UkiHeart:
1:00 | {🦋 The butterfly Momo 🦋}: Uki uki daisuki is here :crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::waving_hand::smiling_face_with_hearts:
1:00 | 米蟲: Let’s go
1:01 | 기은 ChiChi: Ukiiiii
1:01 | san: hi ukiiii:purple_heart::purple_heart::purple_heart:
1:01 | WingXam: ukiiiiiiii
1:01 | Ash Lynx: It’s 10pm for me 
1:02 | SophieVChan: ukiiii
1:02 | (New member) 小默: :_UkiHeart::_UkiHeart::_UkiHeart:
1:02 | (Member (1 month)) 紹婷shao Ting: hi uki:_UkiComfy::_UkiComfy::_UkiComfy:
1:02 | (New member) motoooooo: Ukiukidaisuki
1:02 | (New member) Nasu: HI BABYYYYYY
1:02 | Remaink 墨餘: hi
1:02 | Abi: so excited for this stream 
1:03 | snji__.: :purple_heart::purple_heart::purple_heart::purple_heart:
1:03 | (New member) 可湖KeHu: UKIII:_UkiWahh::_UkiWahh::_UkiWahh:
1:04 | Katherine cai: hellooooooo！
1:05 | (Member (1 month)) 嵐漾_Lanyang: Hi Uki:_UkiHeart:
1:05 | (Member (2 months)) 明紘Mihon: Hello Uki!
1:05 | z: ukiiii
1:05 | rere: :purple_heart::purple_heart::purple_heart::purple_heart:
1:05 | (Member (1 month)) Ashcooky: hiiiiii ukiii
1:05 | Xabia Anderson: UKIII GOOD MORNING :purple_heart::purple_heart::purple_heart::purple_heart:
1:05 | nashzisvoxs: HERLLOO
1:07 | Imma eatcheese: UKI UKI DAISUKI
1:07 | 慕廷: hi Ukiss
1:07 | (New member) em: :_UkiHeart::_UkiHeart::_UkiHeart::_UkiHeart::_UkiHeart::_UkiHeart::_UkiHeart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:08 | Aries: hi! uki
1:08 | (Member (2 months)) Mary0w0: Hiiiii:_UkiHeart::_UkiHeart:
1:08 | (New member) Shiyan: uki baby
1:08 | s: UKI
1:08 | Damn: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:08 | the other axel: UKI UKI DAISUKI :purple_heart::purple_heart::purple_heart::purple_heart:
1:08 | (New member) Zelera Winters: Hi Uki !!!! :_UkiFuufuu::_UkiFuufuu::_UkiFuufuu::_UkiFuufuu:
1:08 | 朔源: hiii
1:09 | (Member (2 months)) gris: I'm so happy omg
1:09 | (Member (2 months)) ‹ Lissy › : :_UkiHeart::_UkiHeart::_UkiHeart:
1:09 | toki toki: uki ｈｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉｉ
1:09 | Xer0: hii
