-0:17 | Gumdrop: Hewwwoooo
-0:16 | Rose 💙: you know we have to wait now right
-0:16 | Akiko Akrilix: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:16 | Choconat: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
-0:15 | {•Ashley•}: CLEAN THE CHAT CLEAN THE CHAT 
-0:15 | Lara🖋️【Quilldren】: :purple_heart::dizzy::purple_heart::dizzy:
-0:15 | Kiyah😋: HEWWOOO
-0:15 | Hann Galaxy: :purple_heart::onion::purple_heart::onion::purple_heart::onion::purple_heart::onion::purple_heart:
-0:14 | Jena Wena (Was a Kyomie)!!<3: ONION CHAN COME BACK WHERE ARE U
-0:14 | AngeIxqu^: :purple_heart::dizzy::purple_heart:
-0:14 | °•*Teabear*•°: KILL THE ONION CULT
-0:14 | Chris Tileyz: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:13 | Liz: Omg
-0:13 | Shuna ;): :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:12 | Priscilla khim: Good morning 
-0:11 | Nikkori: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy: Im awake in right time
-0:11 | Jana Nová: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:10 | Ylixx: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:10 | Alicee: :purple_heart::glowing_star::purple_heart::glowing_star::purple_heart::glowing_star::purple_heart::glowing_star:
-0:09 | Tsumu-つむ-: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
-0:09 | Keyi: WAAAA SO MANY
-0:09 | Ana Sofia: Helloo everyone!
-0:09 | Alex Me: yahooo
-0:09 | beepboopbeep: ahhhhh
-0:09 | cinnamoons: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:08 | MochimsMochi: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
-0:08 | avery: Hellooo everyone to who just joined
-0:08 | Noxus: So excited
-0:07 | Rue Macaroo: SEND THE STAARS :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:07 | hunter: :purple_heart::dizzy::purple_heart::dizzy:
-0:07 | Shuna ;): let's gooo
-0:07 | Ciel_Cherrymilk: OOOOOOOOOOOOOOOOO
-0:07 | Kc !: Wooooo it’s starting soon!
-0:06 | Bluefire_wolfie: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
-0:05 | 🎭Mari’s Bunny🐰: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
-0:04 | Hann Galaxy: lets goooo
-0:03 | yan ling er: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:03 | roxy: :purple_heart::dizzy::purple_heart::dizzy:
-0:03 | Rose 💙: hide it all
-0:03 | Lara🖋️【Quilldren】: :purple_heart::dizzy::purple_heart::dizzy:
-0:03 | Kaye: 8:00
-0:02 | Kitsune: HEYYYY
-0:02 | たむ: :dizzy::purple_heart::dizzy::purple_heart:
-0:02 | Jester🎈🎈: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:01 | erin : :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:01 | dalv simp: THE DOG PEED
-0:01 | sakurai_puri: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::dizzy::dizzy::purple_heart:
-0:00 | Crimsonne: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:00 | Endo: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
-0:00 | ライゼンRaizen: NO TOE FLAVORED ICE CREAM OKAY
0:03 | coco: Hi guyyyssss
0:03 | AngeIxqu^: Okay Haru! Good luck
0:03 | Jana Nová: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:04 | Gumdrop: :purple_heart::dizzy:
0:04 | hmmmmmmmmmmmm: 1 MINUTE
0:04 | cinnamoons: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:04 | umbre_cat: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:05 | pookieverse: POG POG POG
0:05 | tuberose rider : :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:06 | yan ling er: LET'S GOOOO
0:06 | Jena Wena (Was a Kyomie)!!<3: ONION CULT COME BACK
0:07 | Fei: hewwo people joining
0:09 | ★catwnzz★: :purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:09 | Man1a: let's go
0:10 | Hvshk: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:10 | Xella: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:11 | Banana Baby: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:11 | valya ch.: LETS GOOOOOOO
0:12 | Alexa Tinoco: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy:
0:12 | 🎭Mari’s Bunny🐰: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:13 | Luna🌙: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:13 | H2O: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:13 | chairkind: LETS GOOOOOOO
0:13 | MochimsMochi: :purple_heart::dizzy:
0:14 | kio ☆: :purple_heart::dizzy::purple_heart::dizzy:
0:14 | cinnamoons: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:15 | umbre_cat: eyyyy
0:15 | winnie: I CANT WAIT :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:15 | ggracell: YESS
0:16 | AvieAva: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:17 | roxy: HERE WE GOOO!! 
0:17 | yan ling er: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | ꧁Łil_Mika YT꧂: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | Veri: ayo lets gooo 
0:18 | Regretbur: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | Shuna ;): :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::face_blowing_a_kiss:
0:18 | Zozo: hellooooo
0:19 | LOCK ミ★: HELLO
0:19 | dalv simp: ITS HAPPENING SHHAHWHEHE
0:19 | Akito Shinonome: :purple_heart::dizzy:
0:19 | A random person-: ASTERRR
0:19 | valya ch.: EYYYYYYYYYYY
0:19 | mai-chi: CHAT BEHAVE
0:20 | Liya: Let's gooo
0:20 | OiFelix: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:21 | ꧁𝙰𝚛𝚕𝚢𝚗𝚗꧂: LETS GOOOOOOOO
0:21 | hmmmmmmmmmmmm: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:21 | PheSweets: YAY
