-0:32 | こなぐすり: やしきずの悲鳴が聴こえる……(幻聴)
-0:32 | コトバシ: 回鍋肉#とは
-0:32 | うさぎ七色: たのしみ
-0:31 | シャア専用赤いきつね: ビビバスミクとの格付けがはじまる
-0:31 | 〜本物〜Mike: 4千人待機中
-0:30 | (Member (2 months)) 芋猫: ここに来たゲストは誰しも叫ばずにはいられないらしい..
-0:29 | ちくわの軸: やしきずの吠えに期待
-0:29 | きんさく: ？？？「落ち着いてくださいやしろさん」
-0:29 | あんりー: 鍋料理にこんにちは、やしきずにありがとう
-0:28 | いけだなか: やしきず・・・　いいやつだった・・・
-0:27 | やなゆはわ: #社生きろ
-0:27 | sim: できらぁ！
-0:26 | カステラ2円: でもまぁ社が食うわけじゃないからキレんやろ
-0:25 | カンダリーニ: おもしろそうだけどかわいそう
-0:23 | 東京ねこねこサッカー部: よく引き受けたな
-0:23 | あこ: 回すのか…鍋を…
-0:22 | Lightning o‐zyan: 鍋
-0:22 | リーンリーン: なんとかなりゃ
-0:22 | あおむし:: ドリルかもしれないから
-0:22 | こんぱる: 味の心配にまで至らないの不穏すぎるw
-0:20 | Lv99もっさん: もう発狂してるのが見える
-0:20 | あおさぎ: 回すならルンバだよな回転寿司しかり
-0:20 | LANC / ランク: 畳汚れそう
-0:19 | てるる: だからよ、まわるんよ
-0:19 | 雨粒: クトゥルフ神話　シナリオ　深海の鍋
-0:18 | fong: 既にやばそうです
-0:18 | 藤井まほ: 回鍋肉って鍋料理だっけ？
-0:14 | ミル: コメに集いし願いがやしきずの胃を癒す光となる
-0:14 | godflower: 社今までありがとう、、
-0:13 | イケンタ: サムネのやしきずの懐疑的な目線が笑
-0:13 | (New member) フヨウ: 別に社が食うわけじゃないから気楽だろ…
-0:12 | コトバシ: 社食べろ
-0:10 | 小林壯太朗: ジャイロミート
-0:09 | Rain circle: 自分で回鍋肉選んだんだからな社
-0:08 | エバアシガン: #社喉潰さないで
-0:07 | Re:∀（れあ）: 覚　悟　を　決　め　て　召　し　上　が　れ
-0:07 | まる: 回す鍋の肉、もうやばいね
-0:07 | Werner.: 俺、回鍋肉の概念間違ってたかも…
-0:06 | すまとら: 社がくると聞いて来ました
-0:06 | 花てん: やしきずがキレ散らかすかが心配
-0:05 | ジャック: 鍋に肉入れて回す(物理)かな？
-0:05 | ぽんぷ: おいしいかも〜
-0:05 | Yasi × kizu愛好家: #やしきず生きろ
-0:04 | シャア専用赤いきつね: やしきずの教育が久々に見られる……！
-0:04 | KICKS: 背景が回鍋肉じゃないって？そんな訳…
-0:01 | オオサンショウウオ: 回鍋肉じゃねぇよ！！！！！
-0:01 | rot: 鍋の下に肉が来そう
-0:01 | オレオ: 神回確定
-0:01 | お菓子カシ: コトちゃんを止めるのはやしきずしかいねえ
-0:00 | 鳶坂: 回鍋肉はやしきずの得意料理か、そっか
0:08 | ワチひろみ: 面白い化学反応置きそう‥おこれ
0:09 | 成瀬結弦: 皿を回してるやしきずや！鍋も回せるはず！
0:09 | Dainy Dainy: 4番セカンド　KOTOKA
0:11 | ふぁーふぁ: ホイコーローだよな・・・？鍋・・・？
0:12 | 佐倉なつめ: 社今までありがとう
0:12 | はうはう: She is scary
0:13 | やなゆはわ: #社生きろ
0:14 | にゃんこ先生: きちゃ
0:14 | 熊野独言: 見る拷問
0:15 | 甘栗天津【あまぐりてんしん】: 甲子園時代の監督が直々に指導してくれる胸熱展開
0:17 | 王華緋伊呂: やしきずは耐えれるのか？
0:18 | キウイ: 社が神ってことはコトカは神殺しの者になるということか､､､､
