-3:15 | (Member (6 months)) Ddalgi딸기우유🍓: hi everyone:_verVilLove:
-3:12 | (Member (6 months)) LUCA!: :_verVilLove::_verVilLove::_verVilLove:
-3:11 | (Member (6 months)) rayyn forest: ganba students:_verLights:
-3:08 | (Member (6 months)) Ms. Dalia: :_verVilLove::_verVilLove:
-3:04 | (Member (2 months)) 독타dokkta: everyone ganba! ganba! 
-3:03 | (Member (6 months)) Lia Villionclips: :_verVilLove::_verVilLove::_verVilLove:
-2:54 | (Member (1 month)) 林媛 Patty: :_verVilLove::_verVilLove::_verVilLove:
-2:49 | name tz: what does ganba mean?
-2:46 | Gurenz: ganba everyone:virtualhug:
-2:34 | (Member (6 months)) Ms. Dalia: Ganba everyone who is studying:_verVilLove::_verVilLove:
-2:26 | (Member (6 months)) Lia Villionclips: ganba is like a way of cherring, like let's do a good work today
-2:22 | (Member (6 months)) Chocobun: :_verVilLove::_verVilLove::_verVilLove:
-2:12 | LizaRocket : ganba everyone!
-2:12 | Leens07: Ive got a test tomorrow, im so glad he's doing this stream!!
-2:09 | (Member (2 months)) Judy: :_verVilLove::_verVilLove:
-1:58 | Hafiraa: this is great timing 
-1:49 | 헌 (HON): Hii
-1:47 | (Member (6 months)) moeemo: :_verVilLove::_verVilLove:
-1:45 | (Member (6 months)) Ms. Dalia: :_verVilLove::_verVilLove:
-1:43 | (Member (1 month)) 林媛 Patty: Have a good day today :_verVilLove:
-1:42 | (New member) Ashikokosnuss: Let's have a nice study session everyone, fighting :_verVilLove:
-1:40 | (Member (6 months)) mizuki_fumiko: Study stream reminders! Feel free to ask for help fellow vilions. Please remember not to speak about anything that will make other villions uncomfy. Let's all be productive and chill today!:_verVilCheer:
-1:39 | (Member (6 months)) LUCA!: ganba ganbaa everyone !! :3
-1:30 | (Member (6 months)) Chocobun: :_verVilLove::_verVilLove::_verVilLove:
-1:28 | (Member (6 months)) Lynn :3: :_verVilLove::_verVilLove::_verVilLove:
-1:27 | Gurenz: :virtualhug::virtualhug:
-1:23 | (Member (6 months)) Lynn :3: Ganba everyone 
-1:22 | (Member (2 months)) °•Hølløw•°: I have finals in two weeks...but I will stay to socialize with chat:_verVilLove:
-1:22 | Leens07: ganba!!!
-1:18 | name tz: Ty for the answer :loudly_crying_face:🫶
-1:11 | (Member (2 months)) Rea Yumiya: :_verVilYes::_verVilLove::_verVilYes:
-1:07 | (Member (6 months)) コウ ᵏᵒᵘ: :_verVilLove::_verVilLove:
-1:07 | (Member (6 months)) Kelly Long: Ty mizuki
-1:03 | (Member (6 months)) Lia Villionclips: :_verVilLove::_verVilLove::_verVilLove:
-1:00 | (Member (6 months)) Kelly Long: ello chat
-0:56 | melodyuchiha1992: I'll most likely read again since I haven't finished the book and the next book of the series came in today
-0:54 | (Member (6 months)) Kelly Long: :_verVilLove::_verVilLove::_verVilLove:
-0:42 | (Member (1 month)) 林媛 Patty: Hello Kelly :_verVilHello:
-0:38 | (Member (6 months)) mizuki_fumiko: :_verVilLove::_verVilLove::_verVilLove:
-0:37 | Panko-san☁️: Got my work ready<33
-0:33 | (Member (6 months)) Jai: Ganba to everyone working and studying!:_verVilLove::_verVilLove:
-0:30 | Gurenz: hello kelly:virtualhug:
-0:30 | (Member (6 months)) Mayyyyy: :_verVilLove::_verVilLove::_verVilLove:
-0:29 | (Member (2 months)) °•Hølløw•°: oh, book time!
-0:23 | (Member (6 months)) Ms. Dalia: :_verVilLove::_verVilLove:
-0:22 | (Member (6 months)) mizuki_fumiko: imma go lurk now, working:_verVilHello::_verVilLove:
