-0:14 | Izmaaa: Till next time pre chat:purple_heart:
-0:14 | ElizabethVillion: Caw cawr
-0:14 | Anonymous Hippo: BYW PRE CHAT THANKS FOR THE RIZZZICS LESSON 
-0:13 | ゴリミザワ: :purple_heart::blue_heart::yellow_heart:
-0:13 | lestat: :yellow_heart::purple_heart::blue_heart:
-0:13 | moeemo: :purple_heart::blue_heart::yellow_heart:
-0:13 | Blye: HI EVERYONE JOINING!! SEE YOU IN THE STREAM! :purple_heart::blue_heart::yellow_heart:
-0:12 | Keki cakes 🍌 🐠: LETS GOOOOO :purple_heart::blue_heart::yellow_heart:
-0:12 | Roku 禄: :purple_heart::blue_heart::yellow_heart:
-0:12 | pumpkin: :purple_heart::blue_heart::yellow_heart:
-0:12 | HektorsMan: CAW CAW :purple_heart::blue_heart::yellow_heart:
-0:12 | zirabox: CAW CAW :purple_heart::blue_heart::yellow_heart:
-0:11 | NiKeTyronshi: WE WILL MISS PRECHAT
-0:11 | jvyvnr_: CAW CAW:purple_heart::blue_heart::yellow_heart:
-0:10 | Lurking Puppy: CAW CAW :purple_heart::blue_heart::yellow_heart:
-0:10 | ArchieAngel 💢🃏GALEGALLEONSTIDDIES: BYE GUYS(WITH RIZZ)
-0:10 | Bananna: :purple_heart::blue_heart::yellow_heart:
-0:09 | Mari(nette): CAW CAW :yellow_heart::purple_heart::blue_heart:
-0:09 | PotatoCat: imma head out now, you guys take care :purple_heart:
-0:08 | 💋Aether unknown💅: Bye bye pre chatto!!!
-0:08 | Anonymous Hippo: :purple_heart::yellow_heart::blue_heart:
-0:08 | Rusty Bishop: CAW CAW:purple_heart::blue_heart::yellow_heart:
-0:07 | Dana: :purple_heart::blue_heart::yellow_heart:
-0:07 | bluclovers: :purple_heart::blue_heart::yellow_heart:
-0:07 | lestat: :yellow_heart::purple_heart::blue_heart:
-0:07 | Missing sock: bbaw
-0:06 | •Mango-Harmony• 💜♈️: CAW CAW CAW CAW :purple_heart::blue_heart::yellow_heart:
-0:06 | icey_nev🃏🖋: CAW CAW
-0:06 | Lyss: CAW CAW
-0:05 | ElizabethVillion: Cawr
-0:05 | Chr0n0s: CAWCAW CAWCAW
-0:05 | Shinoo: :purple_heart::blue_heart::yellow_heart:
-0:05 | 🦋 l e x i 🦋: :purple_heart::blue_heart::yellow_heart:
-0:05 | Kanata Katagiri [MFG GT86 Racer]: yeah someone gifted earlier in mumu's stream i got converted into a phantocrow
-0:05 | Jo: :purple_heart::blue_heart::yellow_heart:
-0:04 | Amsie: CAW CAW :purple_heart::blue_heart::yellow_heart:
-0:04 | soup soup: CAWCAW
-0:04 | Feline Fortuna: CAW CAW
-0:04 | Niume.i 🕊️🃏: bye pre chat 👋🏻
-0:04 | lil baby mina: BYE PRECHAT :blue_heart::purple_heart::yellow_heart:
-0:04 | Izmaaa: :purple_heart::blue_heart::yellow_heart:
-0:04 | RowJ: caw caw
-0:03 | 💋Aether unknown💅: :purple_heart::blue_heart::yellow_heart:
-0:03 | 《 Leentoshi 》リーントシ: CAWWW CAWWWW :purple_heart::blue_heart::yellow_heart:
-0:02 | squid★: CROWSHII:purple_heart::yellow_heart::blue_heart:CAW CAW <333
-0:01 | yours.truly🧧🌙: :purple_heart::blue_heart::yellow_heart:
