-0:10 | Nana☆: IKZ
-0:10 | りこ: :elbowcough::elbowcough::elbowcough:
-0:09 | Sanya Sheik Hassen: :elbowcough::elbowcough::elbowcough::elbowcough:
-0:09 | Tumao: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:09 | Sky (スカイ): :elbowcough::elbowcough:TEN TEN
-0:09 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:09 | IceBee🌟: :elbowcough::elbowcough::elbowcough:
-0:08 | Hatsu: :elbowcough::elbowcough::elbowcough:
-0:08 | shem🖤🦇: :elbowcough::elbowcough::elbowcough:
-0:07 | black wind: :elbowcough::elbowcough::elbowcough:
-0:07 | Sami: :elbowcough::elbowcough::elbowcough:
-0:07 | Linlin: Let’s goooooo
-0:07 | yooQui: IKZZZZZZ:elbowcough::elbowcough::elbowcough:
-0:06 | pigeon: :elbowcough::elbowcough::elbowcough:
-0:06 | reiraレイラ: :elbowcough::elbowcough:
-0:06 | Hatsu: :elbowcough::elbowcough::elbowcough:
-0:06 | Sanya Sheik Hassen: :elbowcough::elbowcough::elbowcough::elbowcough:
-0:06 | Mira Yachi: :elbowcough::elbowcough::elbowcough:
-0:05 | shaeplays videogames: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:05 | Upei-うぺぃ-: let's gooooo:elbowcough::elbowcough::elbowcough:
-0:05 | Thea Alipat: :yougotthis::elbowcough::yougotthis::elbowcough:
-0:04 | yumekisa: :elbowcough::elbowcough::elbowcough:
-0:04 | Lulu's Flametastic: :elbowcough::elbowcough::elbowcough:
-0:04 | Vanneko🐱: :elbowcough::elbowcough::elbowcough:
-0:04 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:04 | 慧歆Comet: :elbowcough::elbowcough::elbowcough:
-0:03 | Hatsu: :elbowcough::elbowcough::elbowcough::elbowcough:
-0:03 | 紙巾: :elbowcough::elbowcough::elbowcough:
-0:03 | ★ lily: :elbowcough::elbowcough::elbowcough:
-0:03 | EyWhoえふ: ZALIIIIII
-0:03 | Tumao: :elbowcough::elbowcough::elbowcough::elbowcough:
-0:03 | Laz3.: ＩＫＵＺＯ
-0:03 | matchaaa_luna: IKZ!!:baguette_bread::baguette_bread::baguette_bread:
-0:03 | sancy_034: :elbowcough::elbowcough::elbowcough::elbowcough:
-0:02 |  your hope🥭🍌: :elbowcough::elbowcough::elbowcough:
-0:02 | Brownie: :elbowcough::elbowcough::elbowcough:
-0:02 | なおえ。: hello!!
-0:02 | frizzypop: :elbowcough::elbowcough::elbowcough:
-0:01 | Ashley🧻🦁: :elbowcough::elbowcough::elbowcough:
-0:01 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:01 | li yu: :elbowcough::elbowcough::elbowcough:
-0:01 | Cat Black: :virtualhug::virtualhug::virtualhug::virtualhug:
-0:01 | gots: :elbowcough::elbowcough::elbowcough:
-0:01 | helia 🌻: :elbowcough::elbowcough::elbowcough:
-0:01 | Nanatsuki: quaso
-0:01 | shaeplays videogames: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:01 | ☾ 𝓒𝓾𝓽𝓲𝓮 𝓟𝓲𝓮 𝓭𝓸𝓮𝔃 𝓖𝓐𝓒𝓗𝓐 ☽: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
-0:01 | li: :elbowcough::elbowcough::elbowcough:
-0:00 | cloudy_lavender: :elbowcough::elbowcough::elbowcough:
-0:00 | --Jaycee--: IKZZZZZ:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:02 | shaeplays videogames: :elbowcough::elbowcough::elbowcough::elbowcough:
0:02 | Benilde: TEN TEN:elbowcough::elbowcough::elbowcough:
0:03 | Marion: :elbowcough::elbowcough::elbowcough::elbowcough:
0:03 | Riona Strong: good luck
0:04 | hhsuan: :virtualhug::virtualhug::virtualhug:
0:04 | Ericha: IKZ
0:04 | charlie: :elbowcough::elbowcough::elbowcough:
0:04 | Mógū: :elbowcough::elbowcough::elbowcough:
0:04 | O-O: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:04 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:04 | Sika 鹿(しか): Let’s gooo
0:04 | Lili: :elbowcough::elbowcough::elbowcough:
0:04 | Winter_: :face-green-smiling:
0:04 | Natcha (Jan): สวัสดีแชท hi chat :elbowcough::elbowcough::elbowcough::yougotthis::yougotthis::yougotthis:
0:05 | catseqo :3: :yougotthis::yougotthis:
0:05 | kyuaaa: :elbowcough:
0:05 | 《°•Mystic Zen•°》: :elbowcough::elbowcough::elbowcough:
0:05 | Cat Black: :virtualhug::virtualhug::virtualhug::virtualhug:
0:06 | miloxo: :elbowcough::elbowcough::elbowcough:
0:06 | shaeplays videogames: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:06 | qinqin芹: :elbowcough::elbowcough::elbowcough:
0:06 | zenais: :elbowcough::elbowcough::elbowcough:
0:07 | Adaleigh hernandez: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:07 | 花トラ🐾-Hanatora-: :elbowcough::elbowcough::elbowcough:
0:07 | Brownie: :elbowcough::elbowcough::elbowcough:
0:08 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:08 | kyuaaa: :elbowcough:
0:08 | 蓁 zhen 🌱: :elbowcough::elbowcough::elbowcough:
0:08 | minnnie🍌: :elbowcough::elbowcough::elbowcough:
0:08 | lzz: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:08 | Baka_chicken_: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:08 | Ayuki Holmes: :elbowcough::elbowcough::elbowcough:
0:08 | KORO: :elbowcough::elbowcough:
0:09 | Lian Niongazer: WOOOOO
0:09 | Tora: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:09 | Laz3.: ＩＫＵＺＯ
0:09 | shrimp ☆: :elbowcough::elbowcough::elbowcough:
0:09 | Sanya Sheik Hassen: :virtualhug::virtualhug::virtualhug::virtualhug:
0:10 | 名無氏108: :elbowcough::elbowcough::elbowcough:
0:10 | shaeplays videogames: :elbowcough::elbowcough::elbowcough:
0:10 | ゼス🦊Jass: :elbowcough::elbowcough::elbowcough:
0:10 | O-O: WOOOOOOO
0:10 | ycfths【⚡️】: IKZZZZZZ :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:10 | 紙巾: :elbowcough::elbowcough::elbowcough::elbowcough:
0:11 | kyuaaa: :elbowcough::elbowcough::elbowcough:
0:11 | V-·tamin: :elbowcough::elbowcough::elbowcough:
0:12 | p87: w
0:13 | Sanya Sheik Hassen: :yougotthis::yougotthis::yougotthis::yougotthis:
0:13 | EyWhoえふ: ZALIIIII IKZZZZZZZZZ
0:13 | VoMal: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:13 | Bullet: :elbowcough::elbowcough::elbowcough:
0:13 | LLZ: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:13 | 리빈 Livin: :elbowcough::elbowcough::elbowcough::elbowcough:
0:13 | Mógū: :elbowcough:
0:14 | JEN 🥀: :elbowcough::elbowcough::elbowcough:
0:14 | zenais: IKZZ
0:14 | Bullet: :elbowcough::elbowcough::elbowcough::elbowcough:
0:15 | Kira: :elbowcough::elbowcough::elbowcough:
0:15 | marshmallow kitty: IKZZZZZZZ
0:15 | Keii: IKZZZZZZ
0:16 | Lili: :elbowcough::elbowcough::elbowcough:
0:16 | Vanneko🐱: :elbowcough::elbowcough::elbowcough:
0:16 | little-A: HEEELLLPPP
0:16 | 夏五郎[Natsugoro]: :elbowcough::elbowcough::elbowcough:
0:16 | Casper: IKZ:elbowcough::elbowcough::elbowcough:
0:16 | Feline Fortuna: :elbowcough::elbowcough::elbowcough:
0:16 | Aki 🎀: IKZZZ:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:17 | PIRVOXIN: ganba zali!! :roll_of_paper::blue_heart:
0:17 | Lunair: :elbowcough::elbowcough::elbowcough:
0:18 | Lulu's Flametastic: woooooooooo:elbowcough::elbowcough::elbowcough:
0:18 | Adaleigh hernandez: :virtualhug::virtualhug::virtualhug::virtualhug:
0:18 | Noratori: IKZZZZZZZZ
0:18 | 花トラ🐾-Hanatora-: IKZZZZZ
0:18 | minimina: :elbowcough::elbowcough::elbowcough:
0:19 | ふみ: こんばんは～
0:19 | Jing_ʕ•ᴥ•ʔノ: :elbowcough::elbowcough::elbowcough:
0:19 | alice: LETSGOOO
0:19 | Mógū: :elbowcough:
0:19 | Alba Sabio: :elbowcough::elbowcough::elbowcough:
0:19 | yooQui: :elbowcough::elbowcough::elbowcough::elbowcough:
0:19 | IceBee🌟: :elbowcough::elbowcough::elbowcough:
0:19 | LLZ: :elbowcough::elbowcough::elbowcough::elbowcough:
0:19 | charlie: :elbowcough::elbowcough::elbowcough::elbowcough:
0:20 | Upei-うぺぃ-: :elbowcough::elbowcough::elbowcough:
0:20 | CR: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:20 | ダークナイター // Darknighter : IKZZZZZZZZZZZZZZZZZZZZZ
0:20 | Lilly Hong: :elbowcough::elbowcough::elbowcough:
0:20 | Roku 禄: Let's goooo:elbowcough::elbowcough:
0:20 | VoMal: :elbowcough::elbowcough::elbowcough:
0:21 |  your hope🥭🍌: :elbowcough:TEN:elbowcough:TEN:elbowcough:
0:21 | 가주 Gaju: Kyaaaaa
0:21 | abby: :elbowcough::elbowcough::elbowcough:
0:21 | Shadow: YOOOOO
0:21 | EyWhoえふ: LEZ GOOOOOOOO
0:22 | Mind °•♡: TEN TEN:elbowcough::elbowcough::elbowcough:
0:22 | Himari🌸💗: :smiling_face::blue_heart::blue_heart::purple_heart::blue_heart::purple_heart::purple_heart::blue_heart::purple_heart:
0:22 | reiraレイラ: IKzz
0:22 | kulasta: IKZ
0:22 | みのむし: ぇikz
0:22 | Jázmin: ikzz
0:22 | Clownahh: ikzzz
0:23 | もえそちゃん(moeso-chan): :elbowcough::elbowcough::elbowcough:
0:23 | Kri: :elbowcough::elbowcough::elbowcough:
0:23 | 카노에kanoe: :elbowcough::elbowcough::elbowcough:
0:23 | Umi: IKZZZZ
0:23 | Jill the Little Penguin: :elbowcough::elbowcough::elbowcough:
0:23 | purrp: :elbowcough::elbowcough::elbowcough:
0:23 | Rascal: :elbowcough::elbowcough::elbowcough::elbowcough:
0:23 | ひとみHitomi: ikzz
0:23 | つぐた: Ikzzzz
0:24 | reelki🔗: IKZZ
0:24 | fia: IKZZZZ
0:24 | Benilde: :elbowcough::elbowcough::elbowcough:
0:24 | zoe • lifesnuggies: IKZZZ
0:25 | Orbital: ikkkzzzz
0:25 | Yukina: HEEEEELP
0:25 | Akiryu Vel: :elbowcough::elbowcough::elbowcough:
0:26 | Victor!?: :yougotthis::yougotthis::yougotthis::yougotthis:
0:26 | 古庭蓁: :elbowcough::elbowcough::elbowcough:
0:26 | tanachan_たなちゃん: IKZZZZZ!!
0:26 | yumekisa: WOOOOOO
0:27 | ninggg: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:27 | ほのかさん。: :elbowcough::elbowcough::elbowcough:
0:27 | ジーナ: IKZ！
0:27 | Faiirytale: OOOOOO
0:27 | Shirley: :elbowcough::elbowcough::elbowcough:
0:27 | Meiven: LETS GOO
0:27 | Janzu: IKZZZZZ
0:27 | 梨花: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:27 | Vanneko🐱: GANBA ZALI
0:28 | Biidaoo: ikzzzzz :virtualhug:
0:28 | kyuaaa: YAYAYAYAYAYAYAY:elbowcough::elbowcough::elbowcough::elbowcough:
0:28 | 杏華🌸Xinghua: :elbowcough::elbowcough::elbowcough::elbowcough:
0:28 | Lingyue: Pog
0:28 | なおえ。: ikzzz:elbowcough::elbowcough::elbowcough:
0:28 | Rakujin: :elbowcough::elbowcough::elbowcough:
0:28 | kathy: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:28 | Yukimi ゆきみ: IKZZZ
0:29 | Danger: :elbowcough::elbowcough::elbowcough:
