-1:01 | (Member (1 month)) Starlightdraco: :_YuQStick::_YuQStick::_YuQStick:
-0:58 | (Member (2 months)) saki: im drinking water xD
-0:57 | (Member (1 month)) Moo Hunniey: mich ultra beer with a lime
-0:52 | Lady Brushogun 2.0: SI HABLO español wiki :D
-0:51 | (New member) Jessymon darling: water gang too
-0:48 | (New member) 🃏 Lovely 🌿: put A LOT of ice in your drink, so you don't get drunk as fast. speaking from experience:_YuQHeart:
-0:45 | (Member (2 months)) faris 👹🧧: you got this wilson
-0:43 | TheOtakuness: Water gang 
-0:43 | caesou: fauna the stream hasn't even start LMAO
-0:42 | (Member (2 months)) Stiglitz: POG ^^^
-0:41 | (Member (2 months)) Christy^^: vanta is just as a scaredy cat lmaoo but okay
-0:38 | (Member (2 months)) Nota🐲: imma go get my tea.. ganba Wilson!
-0:35 | Bee: NGL WATER I THE BEST GANG
-0:34 | (Member (2 months)) •Agnes•: brean and water gang
-0:33 | Omega: i'm not gonna drink with you guys, Sorry:smiling_face_with_tear: It's 2 am and i have work in like 6 hours:persevering_face:
-0:32 | pear: drinking a buzzball TGIF
-0:30 | (Member (2 months)) Daisy Mae: Yay!!! JST is team water shots 
-0:30 | (Member (2 months)) faris 👹🧧: make sure you have water on the side
-0:27 | (Member (1 month)) Jessi: water with ice :_YuQArson::_YuQGrab:
-0:27 | (Member (2 months)) Christy^^: yo tambieeen
-0:27 | (Member (2 months)) •Agnes•: bread*
-0:26 | Roca: ganba wilson and any drunksoneers! personally im chilling with a big glass o water:hydrate:
-0:26 | (Member (2 months)) Khawla: :_YuQStick::_YuQStick::_YuQStick:
-0:22 | Riku_Yama: I got soda :D
-0:21 | (Member (2 months)) _nocchu (nanika): water gang:_YuQArson:
-0:20 | (Member (2 months)) Windy is stupid: JUICE GANG WHERE???
-0:19 | ゆゆ(yuyu): water gang
-0:19 | (Member (1 month)) boba: ive got cola and oreos for this yay
-0:18 | Darla Bubbles : im drinking tonight and i even brought my sis with me so she's watching the stream tonight too
-0:18 |  《◇Kya◇》: Hello
-0:17 | (Member (1 month)) Starlightdraco: Thank you for the advice lovely :_YuQHeart::_YuQHeart:
-0:17 | (Member (2 months)) Christy^^: ESPAÑOL GANG LETS GOO
