-0:04 | AwKwww: :purple_heart::purple_heart::purple_heart::purple_heart:
-0:03 | Ipecac: enna let's goooo
-0:03 | (New member) kkj_1939: LET'S GOOOOOOOOOO
-0:03 | s.: LETS GOO ENNAURRRRRRRRR
-0:03 | RashidAlSpicy: ITS TIME
-0:03 | phlautia: Ikz ENNNNNAA
-0:03 | cinnamoons: IKZ ENNA
-0:03 | よしろう: IKZZZZZ
-0:03 | ฅ Fredia: yoooooo
-0:03 | (Member (2 months)) Domingo: LETS GO ENNA
-0:03 | (Member (2 months)) dabomb: Enna 
-0:03 | tonton9598: LETS GOOOOOOOOOOOO
-0:03 | 莯 mumo.: GOOD LUCK ENNAAA
-0:03 | ai ai rin rin: let go and see what happens to
-0:03 | (Member (1 month)) Ag Natsu: ikzzzz
-0:03 | (Member (1 month)) ☆kiera: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
-0:03 | radish: ENNNNAAA IKZ:purple_heart::purple_heart:
-0:02 | MeMeMeowMeow: Gogogo
-0:02 | (New member) sofia<3: :_EnnaAloulove::_EnnaAloulove::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaAloulove::_EnnaAloulove:
-0:02 | ThePersonBehindThisIs Asian: :baguette_bread::baguette_bread::baguette_bread:
-0:02 | (Member (1 month)) MyUnconsciousSelf🕊: :_EnnaWaku::_EnnaWaku::_EnnaWaku::_EnnaWaku::_EnnaWaku::_EnnaWaku::_EnnaWaku::_EnnaWaku:
-0:02 | (Member (6 months)) NEON: :_EnnaAloulove: :_EnnaAloulove: :_EnnaAloulove: :_EnnaAloulove: :_EnnaAloulove: :_EnnaAloulove: :_EnnaAloulove: 
-0:02 | riley: IKZZZ ENNA
-0:02 | (New member) IMRLYGUD: IKZ
-0:02 | (Member (6 months)) Mamio: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
-0:01 | ARUPHA Α.: lets gooooo
-0:01 | Gura-san : HII IPNNNN
-0:01 | ドク: Letsgooooooo
