-0:03 | meow_喵嗷: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:03 | (New member) Huyên Nguyễn: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:03 | 汪汪: :pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face:
-0:03 | Tiara Sarah: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:03 | Hui hui: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:03 | (New member) Little Sheep: :_lucubHeart::_lucubHeart:
-0:03 | joy: ぅか
-0:03 | (Member (1 month)) 辞や_shiya: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:03 | (Member (2 months)) scorrestie: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:03 | Mutton baa baa: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:02 | Shaaaennn: :yellow_heart::yellow_heart::yellow_heart:
-0:02 | (Member (1 month)) HINA: :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:02 | Gae Bae: :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:02 | (Member (1 month)) STR: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:02 | (Member (2 months)) Yu Lian: please be patient everyone
-0:02 | (Member (2 months)) JUN JUNʕ •ᴥ•ʔ: :yellow_heart:
-0:02 | (Member (2 months)) Jun: Boss might still fixing the microphone, so pleased be patient
-0:02 | (Member (2 months)) Luisa: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:02 | (Member (2 months)) IamCarlen: Take your time and safe drive BOSS:_lucubHeart::_lucubHeart::_lucubHeart:
-0:02 | (Member (1 month)) 夠了沒: Take your time boss:_lucubHeart:
-0:02 | dollyy: :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:02 | (New member) ruuny: :_lucubPat::_lucubPat::_lucubPat:
-0:02 | Damaris Pardo: Take your time boss!! It's ok! :yellow_heart::yellow_heart::yellow_heart:
-0:02 | (New member) Aiheguu: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:02 | 燕: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:02 | ow w: :yellow_heart:
-0:02 | (Member (2 months)) Saki: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:02 | (New member) U ARISU: :_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart:
-0:01 | uyel: boss wucaaaa
-0:01 | (Member (2 months)) mia: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:01 | (New member) Abigail🎐: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:01 | (New member) Rustle QAQ: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:01 | (Member (2 months)) K: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:01 | (Member (1 month)) Ringi Ren [Giri]: Check the rules, don’t be rude it’s unpog! 
-0:01 | Ahkiyo HCoco: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:01 | pigeon: You made me wait so hard!
-0:01 | (Member (2 months)) haha: :_lucubHeart::_lucubHeart::_lucubHeart:
-0:01 | karry: 也许设备没弄好吧
-0:01 | Username562: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:01 | busyzone📵: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
-0:00 | bleep: take as much time as you need boss!
-0:00 | (New member) Little Sheep: :_lucubHeart::_lucubHeart:
-0:00 | (Member (2 months)) JUN JUNʕ •ᴥ•ʔ: :yellow_heart::yellow_heart:
-0:00 | Mara: i’m so ready let me get my earphones :relieved_face:
