Timestamp,Name,Comment,Language
1:39:56,| (New member) SnowAoiK12, shu should know this,en
3:11:03,| jullissa, hi bye peatra,en
4:57:50,| (Member (2 months)) J, :_heart::_heart::_heart:,en
32:45,| 🍑桃芷_taozhi, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
9:42,| purity, happy birthday to you~happy birthday to taichou~:yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:,en
22:25,| xiiguaa, damn I want a friendship like this,en
2:42:05,| キャプテンしょうちょうドットコム🐾🦇, :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,en
29:11,| (Member (6 months)) Paradise Lost [#484], Victorian?,en
34:34,| Catastrophic, but batman is a millionaire,en
21:28,| Mary, :red_heart::red_heart::red_heart:,en
57:49,| Everyln 💫, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
3:21:41,| (Member (2 months)) snow, oohh Aia has the suika hat too :_cheer:,en
25:03,| (Member (6 months))  Moonmun, :grinning_squinting_face: ,en
30:26,| (New member) mariæee, :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:,en
11:36,| 청록, cute~~~:tired_face::yellow_heart:,en
49:50,| chia lin lin, :baguette_bread::baguette_bread::baguette_bread:,en
37:37,| Sam Dee, Holy crap that’s so cool!!!!!!!!!:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,en
18:19,| varous9pure, CUTTEEEEE,en
2:17,| Akemiu, :face-red-heart-shape::face-red-heart-shape:,en
35:42,| ariyaa, lmaooo not the pickaxe,en
3:11:14,| A.Hizomi 👹🐏, :face-fuchsia-tongue-out::face-fuchsia-tongue-out:,en
1:50:44,| kekokez, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
1:17:16,| (Member (2 months)) 閑貓Mao*, :blue_heart::_ikecry:,en
1:48:44,| VINMASTER75, Go for it,en
1:52:44,| (Member (2 months)) spaguettification, Ohh volume is a lil loud,en
2:11:25,| (New member) Kaybear🧸, :purple_heart::orange_heart::purple_heart:,en
56:11,| S4nd3r_Pr1m3," you are doing quite good, but the mic is picking the aircon I think",en
3:13:46,| marian ~," Yes, looking forward",en
23:54,| Caroline Dela Fuente, HE MEMORIZED IT LETS GOOOOOOOO,en
1:16:40,| 包麻糬餡的杯子蛋糕, :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:,en
46:51,| eyyy, :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,en
1:07:26,| (New member) celine lin, :rainbow::rainbow::rainbow:,en
7:56,| Ashes_To_Dust, :blue_heart::blue_heart::blue_heart:,en
2:08:54,| royal, :baguette_bread::baguette_bread::baguette_bread:,en
2:16:45,| anne.sqakop, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
2:05:25,| 湊 いりえ, :purple_heart::purple_heart::purple_heart:,en
18:09,| Kagami, My ears!,en
30:08,| Ayumi !, :face-red-heart-shape::face-red-heart-shape:,en
12:50,| Roxan, what,en
52:51,| (Member (2 months)) Maneki Mew kaneshiro {Mew-Chan}, will boss finally sing sway?,en
3:05:24,| Clo orange, Good night babe!,en
2:15:06,| (New member) watsonrose, thank you for the membership Debby!!!,en
39:00,| AlphaCentauri, SHE'S SO CUUUUUUUTEEEE,en
1:10:28,| 晴·HARU, :clapping_hands::clapping_hands::clapping_hands:,en
4:28:08,| Loyalty Leelee, what,en
59:33,| (New member) Drabble Dabble, Finance is too much for me:_finanaBlush::_finanaBlush:,en
1:14:36,| 𝗠𝗶𝗼𝗻𝗲, THANK YOU!!!!,en
3:35,| Muffled_Iza, :folded_hands:Reimu's back:folded_hands:,en
