-2:49 | (New member) jajai
-2:35 | (New member) rain
-1:52 | (Member (1 month)) Arrting: :_ShuLove::_ShuLove::_ShuLove:
-1:41 | (Member (2 months)) Vanessa Ko: eyyyyyyy:_ShuLove::_ShuLove::_ShuLove:
-1:08 | (Member (2 months)) キキ(kiki): eyyyyyyy
-0:42 | (Member (2 months)) Kim C: eyyyy:_ShuLove:hope you have a nice day today Shu c:
-0:38 | (Member (2 months)) ユネ Ting: :_ShuLove::_ShuLove::_ShuLove:
-0:00 | (Member (2 months)) *NT$22.00* 🍌🍌Angel Tsai
0:07 | (Member (2 months)) *NT$22.00* ユネ Ting
0:08 | (Member (1 month)) *HK$8.00* Cadence c:
0:12 | (Member (2 months)) unknown potato
0:12 | (Member (2 months)) *₱37.00* ShyLee
0:18 | (Member (2 months)) *HK$8.00* Ur imaginary biceps
0:19 | (Member (1 month)) *NT$22.00* pipice
0:26 | (Member (1 month)) チュン: :_ShuLove::_ShuLove::_ShuLove:
0:27 | (Member (2 months)) *HK$8.00* Katherine
0:33 | *MYR 4.50* 🍌🍌Kasey Lirious
0:42 | (Member (2 months)) たんぽぽ: :_ShuLove::_ShuLove::_ShuLove:
0:43 | (Member (1 month)) 海月君: :_ShuLove::_ShuLove::_ShuLove:
0:45 | (Member (2 months)) *NT$22.00* Kedama
0:47 | (New member) *₱37.00* Kasaki
0:48 | (Member (2 months)) *MYR 4.50* zed 🌱
0:48 | (Member (2 months)) Rour_yutsuki: :_ShuLove::_ShuLove::_ShuLove:
0:52 | (Member (2 months)) *₱37.00* carms (myaajackatsumu)
0:53 | (Member (1 month)) Yuuuuuu: Eyyyyy Banana:_ShuLove:
0:56 | (Member (2 months)) *HK$8.00* Ur imaginary biceps
0:57 | (Member (2 months)) *¥150* 瑠璃ちゃん
0:57 | (Member (1 month)) *₱37.00* 🍌🍌 shu's hand holder
0:58 | (Member (1 month)) *£0.99* 🍌🍌Cherry Lee
0:58 | (New member) *₱37.00* Miso
0:58 | (Member (2 months)) *¥140* pam
1:01 | (Member (1 month)) vanvan: letsgoo
1:01 | (Member (2 months)) *NT$22.00* Caramel
1:04 | (Member (1 month)) 杳雨ゆゆゆい: eyyyy:_ShuYay::_ShuYay::_ShuYay:
1:05 | (Member (2 months)) *NT$22.00* Jaceyyyy
1:10 | (Member (2 months)) Rong Lee: Eyyyyy:_ShuLove::_ShuLove::_ShuLove:
1:13 | (Member (2 months)) *NT$70.00* FeLicia_shueyelashes: HAPPY 4 MONTH :party_popper::party_popper::party_popper:
1:17 | (Member (2 months)) *NT$22.00* えび🦐 (ebi)
1:17 | (New member) *NT$150.00* Oh SAE
1:19 | (New member) *HK$100.00* Americano With Milk: MARSHAL MAXIMIZER LETS GOOOOO:_ShuFlex:
1:21 | (Member (1 month)) 白石れい: :_ShuLove::_ShuLove::_ShuLove::_ShuItchy:
1:25 | (Member (1 month)) *RON 7.49* melonpie
1:25 | (Member (2 months)) shiira: goodluck to both teams:_ShuLETSGO::_ShuLETSGO::_ShuLETSGO:
1:27 | (Member (2 months)) *CA$1.49* Saeyin
1:29 | (Member (2 months)) *¥150* Miku
1:30 | (Member (2 months)) *¥140* ゆお
1:30 | (Member (2 months)) むしけいmushikei: eyyyyyy:_ShuLove::_ShuLove:
1:34 | (Member (2 months)) *MYR 4.50* heyaheya
1:37 | (New member) *NT$22.00* モニカ摸泥咖(⊙x⊙;)
1:39 | (New member) Kimi rin
1:42 | (Member (2 months)) syon: :_ShuLove::_ShuLove::_ShuLove:
1:44 | (New member) *A$1.49* Kimura
1:46 | *MX$14.00* LuluNya
1:47 | (Member (2 months)) *¥140* みーさん。
1:48 | (Member (2 months)) しい | shii: :_ShuFlex::_ShuFlex::_ShuFlex::_ShuFlex:
1:48 | (Member (1 month)) ryon
1:50 | (Member (2 months)) *NT$22.00* えび🦐 (ebi)
2:02 | (Member (2 months)) *¥140* ながた2円
2:07 | (Member (2 months)) *MYR 4.50* 🍌🍌荒川Aya
2:09 | (Member (1 month)) *MYR 4.50* Rennii MisShu
2:14 | (Member (1 month)) りんちゃん: がんばれ〜
2:15 | (Member (2 months)) 犬だんご: Letsssssssssss gooooooooooo
2:17 | (Member (1 month)) *¥140* tanachan_たなちゃん
2:24 | (Member (1 month)) にろてゃ: eyyyyyyyy:_ShuLove::_ShuLove:Let's goooooo
2:28 | (Member (1 month)) *£0.99* 🍌🍌Cherry Lee
2:28 | (Member (2 months)) Kirin齊凌: Let's PEW PEW PEW:_ShuFlex:
2:39 | (Member (1 month)) 犯人は: let'sgooooooooo
2:42 | (Member (1 month)) *HK$8.00* Flying Mouse
2:45 | (Member (2 months)) 掐掐: :_ShuLove::_ShuLove::_ShuLove::_ShuLove::_ShuLove:
2:52 | (Member (2 months)) レイシ
2:54 | (Member (2 months)) Kurika: let's goooooo:_ShuLove:
2:55 | (Member (1 month)) alice Ching Ching: U CAN DO THIS EYYY GAMINO GUNBEAR:_ShuLove::_ShuLove:
2:56 | (Member (2 months)) *¥140* Eve.
3:03 | (Member (2 months)) sirin: シュウくん頑張って:_ShuPog:
3:10 | (Member (1 month)) *HK$8.00* Flying Mouse
3:23 | (Member (1 month)) Seakelp: :water_pistol::bear:
3:31 | (Member (1 month)) *HK$8.00* HANIIIʕ•ᴥ•ʔ🇭🇰
3:31 | (Member (1 month)) *NT$22.00* Zona梓耘
3:32 | (Member (2 months)) *CA$1.49* 🍌🍌シュー叔母ちゃん
3:38 | (Member (1 month)) ll Rin ll ☯️🦊: Let’s gooooo PEW PEW PEW:_ShuLove::_ShuLightL::_ShuLETSGO::_ShuLightL:
3:40 | (Member (2 months)) *NT$22.00* えび🦐 (ebi)
