-4:57 | (New member) 阿凜
-1:55 | (New member) afraghost
-1:03 | (New member) Jessica辰
-0:31 | (New member) Trista
0:38 | (New member) Nessa K- ワンワン
0:50 | (New member) 0w0 Kiki
1:10 | (New member) Takami Arashi🍊🌻
1:58 | (Member (2 months)) *MYR 15.00* Tish [Fuu Avid Fan]: Hope you enjoy our tears to hydrate yourself :_MembaaaCry::_MembaaaCry::_MembaaaCry:
4:26 | (Member (2 months)) Hidden Attic: 3 months in the membaaship hope you all had a great day!:smiling_face_with_sunglasses::popcorn:
5:16 | (Member (2 months)) Shishi: :_MembaaaHeartEyes:
6:42 | (New member) OtomeEmblem
7:08 | (Member (2 months)) *MYR 15.00* Serafim: Something possessed me to wake up when you started singing and I'm glad I could watch that live before work lol thanks for the stream :ok_hand:
7:33 | (Member (2 months)) *HK$250.00* nixie: I pretend I did not miss anything and tagay !! :_MembaaaHeart:
10:58 | (Member (1 month)) *$50.00* maddie🐑: hey fuchan! a friend and I were so excited for the stream that we made a bingo card based off of what crazy stuff we think is gonna happen LMAO so let's gooooooo
12:18 | (Member (1 month)) *$10.00* Blink Poke: Having a basic Old Fashioned using Old Grandad. Been a while since I've made a cocktail since I've been trying to avoid sugar but wanted to celebrate with Fuchan and send off Enna with something comfy
16:12 | *$5.00* Ainak Melltich: LMAO A FASHION SHOW, Hey Fulger would you have a dragon dew? 1 shot whisky voldka and rum in Mt Dew
18:36 | *$5.00* Rithirh: Thanks for this stream: now I'm parasocial drinking instead of drinking alone on a Wednesday
20:29 | (New member) *HK$25.00* Purpleうさ: Good evening Fuchan.Hope you enjoyed your evening.
21:27 | (Member (2 months)) *NT$300.00* 拉拉
21:40 | (New member) *NZ$2.00* Mememe: Tagay!! Although I'm only drinking milk :glass_of_milk::beer_mug:
22:24 | (New member) Yin Ling銀靈
24:52 | (New member) *NT$75.00* 藍藍路LonaBlue🐑: Good morning Fu Chan:red_heart:, have fun! Not much money, go buy more alcohol! Cheers!:clinking_beer_mugs:
27:22 | (Member (1 month)) Schofield: □□□
29:33 | (Member (2 months)) *$2.00* alyx: Settled down w/ a glass of Riesling, ready to Vibe
30:33 | (Member (2 months)) V Lai: Glad to become membaaasheeeeeep for 2 months:_MembaaaHype::_MembaaaHype:
37:05 | (Member (2 months)) えりーEri
