-4:51 | (New member) かんべ
1:39 | (New member) Echoic: Gifted 10 Maria Marionette 【NIJISANJI EN】 memberships
3:38 | *$199.99* MiaaaaaT: Crying in happy tears :loudly_crying_face: Thank you all！I'm in absolute heaven right now...TSKR! ！！
3:40 | (Member (2 months)) たこさん: 始まった！
3:52 | (New member) モニカ摸泥咖(⊙x⊙;)
4:30 | *CA$139.99* appleblossom: YA MATE
4:55 | (New member) cha cha
6:49 | (Member (2 months)) Zhumingz: Come on NijiAU :_MariPog::_MariPog::_MariPog:
7:08 | *A$10.00* Panda Peach🐼: it's scuffed but it's aussie style haha
8:02 | (Member (2 months)) Momo Tao: Gifted 20 Maria Marionette 【NIJISANJI EN】 memberships
8:18 | (Member (2 months)) KP : WOOOO NIJI AU:_MariLight2::_MariWow::_MariLight:
8:48 | (Member (2 months)) Yung Chun Lee (Jeffery): :_MariPog::_MariPog::_MariPog:
8:51 | (Member (1 month)) Flow: :_MariLight2::_MariPog::_MariLight:
8:55 | (Member (2 months)) yuu
9:50 | (Member (1 month)) Sen 🖋️: puppet reveal tskr!!! :_MariPog::_MariPog:
10:45 | *$4.99* Alaina**: Feet stream POG:face_with_tears_of_joy:
11:40 | (New member) appleblossom
12:16 | (New member) 生米Mi
12:34 | (New member) Invincible Summer
14:53 | *¥10,000* Sazanamiちゃん: PLZ MOEMOE KYUN PLZ
16:01 | *$99.99* MiaaaaaT: Mariring sooo cute ！ Rang JieJie QinQin Ni chuchuchu(╯3╰)
21:17 | *A$5.00* Techless, VTuber Editor: Has Captain flexed the arcade card yet?
23:59 | *$4.99* Alaina**: WHAT HAPPENED TO SONNY? Lmao twitter left me curious:face_with_tears_of_joy:
26:25 | (Member (1 month)) lyneruu: pog!
28:34 | (Member (2 months)) 띠드징어: :_MariPog::_MariPog::_MariPog:
29:29 | *A$5.00* Blackout: The Scooby Doo ride terrified me of all roller coasters ever... I hated the really fast turns and the going backwards...
32:56 | (Member (2 months)) PPizza : :_MariPog::_MariPog::_MariPog::_MariPog::_MariPog::_MariPog:
37:25 | (Member (2 months)) *NT$150.00* God Rebel: NijiAU Collab just like Avengers Assemble:_MariWow: A Dream Come True!Awww I wish Ren can stab me with his Horns:black_heart:Hand Cam? Hazukasheesh ~ Have you guys try to Fight with Kangaroos?I love NijiAU:sparkling_heart:
38:13 | (New member) Elsa Cold
40:36 | (Member (2 months)) Cherryssul : :_MariPat:
48:29 | *THB 19.00* boko
51:43 | *THB 19.00* Noodee
1:01:22 | *A$2.99* The one who randomly pops up every now and then: Ah don’t want this to end but yr12 starts tomorrow
1:05:36 | *IDR 50,000.00* naera: please show us the shapes shapes
1:13:07 | *₹1,000.00* Uriel☯️: Today is my birthday and it's so nice to see you all tegether:face_blowing_a_kiss:
1:20:15 | *¥2,234* Sazanamiちゃん: I wanna see you guys create star sign with five V sign!:pleading_face:　みんなのVサインで☆作るやつがみたい～～！！！
1:25:42 | (Member (2 months)) *THB 400.00* จกไก่: Nyo! it hurts right here in my meow meow ಥ⁠‿⁠ಥ all of ypu is so cute T-T
1:26:33 | (Member (2 months)) *NT$75.00* God Rebel: Hi Maria, Since you are a Chuuni Doll... Can you do the Naruto Hand Sign or Gojo Satoru's Ryōiki tenkai. Thank you for the NijiAU Collab :_MariFlower:
1:34:59 | (Member (2 months)) *$10.00* Dum: The reason the peace sign is like flipping the bird is because in medieval times, they would cut the enemy archers finger off. So it was to be mocking the enemy that they hadn't gotten captured
1:35:01 | (New member) Mangur Farmur 🥭 :3
1:35:55 | (New member) Mangur Farmur 🥭 :3: Gifted 10 Maria Marionette 【NIJISANJI EN】 memberships
1:35:57 | (New member) tongtong
1:36:59 | *HK$50.00* melonjuice
1:37:18 | *IDR 50,000.00* naera: JINZOU FAIYA FAIBO WAIPA!!! TAIGA TAIGA TTTTAIGA! CHAPE APE KARA KINA CHAPE APE KARA KINA MYOHONTOUSUKE WAIPA!!!
1:37:44 | *¥500* YULI
1:38:17 | *SGD 10.00* Nanoka
1:39:25 | *¥480* tengoku°♡
1:43:03 | *NT$150.00* youko _: TSKR:baguette_bread::baguette_bread::baguette_bread::baguette_bread:NijiAU Happy time:baguette_bread::baguette_bread:
1:44:02 | *$4.99* Alaina**: Y’all really blessed us today🙏🏽 TSKR
1:45:23 | (Member (2 months)) S
1:46:27 | *IDR 20,000.00* naera: DON'T LOOK.. CLOSE YOUR EYES.. JUST FEEL ME..
1:46:57 | *€5.99* Teaful: :baguette_bread::baguette_bread::baguette_bread: TSKR
1:47:34 | *THB 40.00* brrr: :baguette_bread::baguette_bread::baguette_bread:
1:48:20 | *NT$30.00* cinao: :clapping_hands::clapping_hands::clapping_hands:
1:50:39 | (New member) Bluebird
1:51:25 | *IDR 50,000.00* naera: WHAT YOU SEE IS ONLY A MOMENT :musical_notes: WHAT YOU HEAR IS ONLY A MOMENT
1:52:33 | (New member) *HK$25.00* Mangur Farmur 🥭 :3: aussie internet PLEASE KEEP MORE MOMENT LMAOO
1:57:12 | (New member) Mangur Farmur 🥭 :3: Gifted 5 Maria Marionette 【NIJISANJI EN】 memberships
1:58:50 | *IDR 20,000.00* naera: THROUGHOUT THE NIGHT :musical_notes: PARTY TIMEEEEEEE
2:03:47 | *IDR 20,000.00* naera: I'M STUCK IN THE ABYSS!! PEW PEW PEW!! :water_pistol::water_pistol::water_pistol:
2:04:50 | *THB 30.00* brrr
2:04:54 | (New member) *NT$1,500.00* かんべ
2:05:35 | *IDR 20,000.00* naera: :sparkles: TSUITE KOI YO :sparkles:
2:08:00 | *¥2,000* かよう: 最高です:loudly_crying_face::folded_hands:
2:09:00 | *IDR 50,000.00* naera: HAJIMEMASHITE MY DEAR FRIEND :musical_notes: YOU'RE ALWAYS WELCOME HERE SO FEEL AT HOMEEEEEEE :house:
2:09:30 | *HK$38.00* RiRi Deznuts: We need more Niji AU collab x🥹🫶🏻:growing_heart:
2:10:22 | *R$5.00* Isabele: NIJIAU SAVING OUR DAY
2:10:44 | *NT$750.00* Amemiya: :baguette_bread::baguette_bread::baguette_bread:
2:11:33 | *NT$750.00* Vicky Tu: NIJIAU LOVE thank you:smiling_face_with_hearts:
2:11:40 | (New member) 關關Debby
2:12:37 | (New member) Evelyn 冬りん
2:12:43 | *THB 69.00* lemonadep🥤: the vocals:loudly_crying_face: i love nijiau collab so badddd
2:12:44 | (New member) 關關Debby: Gifted 50 Maria Marionette 【NIJISANJI EN】 memberships
2:12:53 | *€2.00* FH_Mio
2:13:07 | (New member) *A$50.00* Evelyn 冬りん
2:13:19 | *R$5.00* Isabele: SILENCE EVERYONE MARIA IS COMMUNICATING WITH DOLPHINS 
2:13:47 | (New member) Nanoka
2:14:49 | (New member) Peacepeach
2:16:12 | (Member (2 months)) maya 💛: :_MariLight2::_MariWow::_MariLight:
2:16:16 | (Member (2 months)) *A$5.00* Ceuraaaat: :_MariLight2::_MariPog::_MariLight:
2:20:55 | *A$10.00* SAI: TSKR:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
2:20:59 | *R$2.00* Isabele: it's showtime now(for the third time)
2:22:10 | (New member) 關關Debby: Gifted 20 Maria Marionette 【NIJISANJI EN】 memberships
2:23:47 | *IDR 20,000.00* naera: JAZZ~ SHOWTIMEEE~ KEEPIN IT SCUFF IS WHAT WE DO :saxophone:
2:25:29 | *HK$50.00* ching123OOO: TSKR
2:27:18 | (New member) 關關Debby: Gifted 20 Maria Marionette 【NIJISANJI EN】 memberships
2:27:47 | *IDR 20,000.00* naera: I WANT THAT THAT BLUE SUGAR HIGH~~~:up_arrow:
2:34:01 | *IDR 20,000.00* naera: EEEEE EEE EEEEEEEEEHHHHHH~
2:36:04 | *AED 74.99* Aiと: :fire:DA KINI NA:fire:
2:41:13 | (New member) 關關Debby: Gifted 50 Maria Marionette 【NIJISANJI EN】 memberships
2:42:58 | *IDR 50,000.00* naera: HEEEEEEEEYYYY YAH YAH YAH YAH TSUNA NA NA EH NA NA NA AAAAAA A AAHHHHHH~ :water_wave:
2:44:42 | *$5.00* Dolliette ☕️🍂: DEJA VU IM READY TO CRY :loudly_crying_face::loudly_crying_face::loudly_crying_face:
2:45:32 | *IDR 20,000.00* naera: STELLA EX INANI REVELARE TE UT NOS ITER IN TEMPORE
2:47:43 | (New member) 關關Debby: Gifted 20 Maria Marionette 【NIJISANJI EN】 memberships
2:48:46 | *NT$750.00* モコ-Moko: :purple_heart:
2:49:29 | (New member) *NT$750.00* かんべ
2:50:59 | (New member) *CA$100.00* appleblossom:  ITS BEAUTIFUL:_MariCry::_MariCry::_MariCry::_MariCry:OTSUKAREEE :_MariLight::_MariLight::_MariLight::_MariLight2::_MariLight2::_MariLight2::_MariLight2::_TSKR::_TSKR::_TSKR::_TSKR: I FEEL BLESSED THANK U AHHHHH
2:53:06 | (New member) *NT$750.00* -はるみ Harumi-
2:54:09 | (Member (2 months)) *NT$150.00* Yohko 赤沢葉
2:54:37 | *$1.99* Alaina**: How do y’all eat your Oreos cause I use a fork:face_with_tears_of_joy:
2:55:16 | (Member (1 month)) *¥2,434* Aoi Tenshi: Thank you all so much for such an amazing and fun collab!
2:56:11 | *HK$8.00* YF
2:58:33 | *HK$50.00* Joanne L: Otsu! Thanks for streaming
2:58:44 | *NT$300.00* -mea-
2:59:43 | *IDR 20,000.00* naera: OTSUMATE!! :clapping_hands::clapping_hands::clapping_hands: thank you sm for the collab YA MATE
2:59:50 | *HK$500.00* にこぴ: Thank you all of you!!! TSKR:loudly_crying_face:
2:59:57 | (Member (1 month)) moing: Thank you guys :thumbs_up::loudly_crying_face::red_heart:
3:00:01 | *HK$50.00* YF: otsu
