-4:37 | (Member (6 months)) OkTank
-2:01 | *$24.34* Jackson: 今度は間違いなく！新衣装おめでとう、ペンギンちゃん！！
-1:10 | *$5.00* MottledAbyss: Glad to be here! Have fun!
0:26 | (Member (1 month)) xisuee: :_petoCheer::_petoCheer::_petoCheer:
1:02 | (New member) Jackie Chen
1:03 | (Member (1 month)) Hannah: NOOT NOOT
1:10 | (Member (6 months)) Tyrone: :_petoCheer::_petoCheer::_petoCheer:
1:13 | (Member (6 months)) タク: :_petoHuh:
1:29 | (Member (6 months)) abeibu: :raised_hand:
1:31 | (Member (2 months)) Faunwell-wisher: :_petoLove::_petoLove::_petoLove:
1:36 | (New member) Nature
1:36 | (Member (1 month)) harumiii
1:47 | (Member (6 months)) Daru: :_petoNoot:
1:54 | (Member (6 months)) OnePerson: :_petoCheer::_petoCheer::_petoCheer:
2:02 | (New member) がりがり
2:15 | (Member (6 months)) hana: CONGRATS ON THE NEW OUTFIT PETRA
2:17 | (Member (2 months)) rinツ : LET'S GOOOO PETORA:_petoCheer:
2:23 | (Member (2 months)) Yuki Felrhan: :_petoFlushed2::_petoFlushed2::_petoFlushed2:
2:33 | (Member (6 months)) Gabs uwu: LETS GOOO:_petoNyan::_petoNyan::_petoPat::_petoPat::_petoLove:
2:34 | (Member (6 months)) *CA$5.00* Sora383: You got this Princess Petra this outfit is going to be amazing :_petoCheer::_petoLove:.
2:39 | (Member (2 months)) x æ a-xii: :_petoLove::_petoLove::_petoLove: ILY PETRA
2:44 | (Member (2 months)) Svei: Congrats on new outfit!:_petoLove:
2:45 | (Member (6 months)) a: :_petoCheer::_petoLove::_petoCheer::_petoLove::_petoCheer::_petoLove:
3:04 | (Member (2 months)) Novv.: LET'S GOOOOO PETRA:_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove:
3:10 | (Member (6 months)) Aim: LET'S GOOO:_petoCheer::_petoLove::_petoCheer:
3:13 | (New member) Shinnrin
3:15 | *$2.00* invaderoid: Welcome to Hand Arc!
3:15 | (Member (6 months)) *$5.00* wildnexus: LET'S GOOOO PETRAAAA!!!!! WOOOOOOOO!!!!!!!! :_petoCheer::_petoCheer::_petoLove::_petoLove::_petoCheer::_petoLove:
3:20 | (Member (6 months)) Nouseng Thao: :_petoCheer::_petoCheer::_petoCheer::_petoCheer::_petoCheer::_petoCheer::_petoCheer:
3:28 | (Verified, Moderator, Member (6 months)) Rosemi Lovelock【NIJISANJI EN】: yeah im a PENTOMO (Petra Gurin's Biggest Fan)
3:34 | (New member) *SGD 5.00* Leminn: P- P- Pe- tr- tr- PETROL OPEN GAS LETS GOOOOOOOOOOO
3:59 | (Member (6 months)) 咕咕: petra新衣装快乐！！！企鹅一生推！！！！
4:00 | (Member (1 month)) Solanum: New outfit hype! Let's gooooooooooo
4:22 | (Member (6 months)) SX SR: coming :_petoLove::_petoLove::_petoCheer:
4:37 | (New member) Gabriel Kronos
4:43 | (Member (2 months)) Hernan👻🎼: Congrats on the new outfit:_petoLove:
4:46 | (Member (6 months)) MVB: faito miss petra :_petoCheer:
4:53 | (Member (2 months)) Conan: lets goo:_petoHello:
4:56 | (Member (6 months)) Chiu 🎨 : :_petoKya:
4:56 | (Member (6 months)) 朝活王シュナ: 新衣装楽しみ！！！！
5:03 | (Member (6 months)) *$10.00* Max_Power: Congrats Petra! :_petoPogtra:
5:04 | (Member (6 months)) *MX$50.00* shaorandres3: OMG I need to know if this outfit is planned for flippers or hands!!! or maybe for 4 arms LTZ GOO:_petoCheer:
5:13 | (Member (6 months)) 乐正凌乱: :_petoCheer::_petoLove::_petoLove::_petoCheer:
5:14 | (Member (6 months)) Mini: you can do this petra!!!!:_petoCheer::_petoCheer::_petoLove::_petoLove:
5:27 | (Member (2 months)) FittyYen: it's be a lot of fun penguin, super excited for the new outfit!
5:41 | (Member (6 months)) とも詩音: ペトラちゃん新衣装おめでとう:party_popper::party_popper:
5:42 | *$5.00* Arkathon: WOOHOO CONGRATS ON THE OUTFIT PETRA:orange_heart::penguin:
6:04 | (Member (6 months)) 茶器。_chaki: 楽しみすぎて泣きそう
6:17 | (Member (6 months)) えぬしーおー: :_petoLove::_petoLove::_petoLove:
6:21 | (Member (6 months)) *¥500* 2Ne7 rum: かわいい(フライング)
6:24 | (Member (6 months)) Yumiya: :_petoLove::_petoLove::_petoLove:
6:24 | (Member (1 month)) Crisu
6:29 | (Member (6 months)) Zhumingz: Ganbare Petra!
6:29 | (New member) Yum PAsta
6:33 | *$5.00* Mikava: Can't watch live but congratz on the new outfit!
6:35 | (Member (2 months)) らむね: 配信画面もいつもより大人っぽくてドキドキが止まらない:flushed_face::orange_heart::orange_heart: 新衣装本当におめでとう:loudly_crying_face::orange_heart::orange_heart:
6:55 | (Member (6 months)) ふた: めっちゃ楽しみ！がんばれ～
6:56 | *HK$25.00* Rosie: Congrats Petra
7:06 | (New member) SBnote
7:47 | (Member (2 months)) Misterius223: :_petoLove::_petoLove::_petoLove:
7:55 | (New member) ときりん
7:57 | (Member (6 months)) ryusei2u: Congrats! Petra HAND ARC!
8:13 | (Member (6 months)) Radi: :_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove::_petoLove:
