-0:06 | (Member (6 months)) Dice🎲
0:19 | (Member (6 months)) キキ(kiki)
0:27 | (Member (6 months)) Kero: LET'S GO ENNAAAA!
0:28 | (New member) H0LA_NIK0
0:58 | (Member (1 month)) Star Trooper
0:58 | (Member (6 months)) 坂の上のタモ / Tamo: ganbare LETSGOOOO Enna
1:01 | (Member (6 months)) LagGer卡哥: ENNA LETS GOOOO:_EnnaLight::_EnnaLight::_EnnaLight::_EnnaAloulove::_EnnaAloulove:
1:10 | (Member (2 months)) ヱシカ: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaGgg::_EnnaOoo::_EnnaBonk::_EnnaBonk:
1:10 | (Member (2 months)) Flutterdog: LETS GO ENNA:_EnnaLight:
1:11 | (Member (1 month)) Rana: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
1:12 | (Member (6 months)) セガ: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
1:14 | (Member (1 month)) Emma Zheng: Let’s gooooo
1:14 | (Member (1 month)) Anon: LET'S GO ENNAAAA!!! YOU GOT THIS!!!!!
1:15 | (Member (6 months)) Nice Hat: LETS GO ENNA!! YOU GOT THIS! :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
1:19 | (Member (2 months)) patricia aguilar: u got this enna!!!! sending love
1:35 | (Member (2 months)) ReF: LMAO ENNAAAAAAAAAAA
1:35 | (Member (1 month)) ottsad: IKZ:_EnnaAloulove:
1:39 | (New member) Keith Zaw
1:44 | (Member (6 months)) Phinn The Phast: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
1:45 | (Member (1 month)) Deskbot001: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaGgg::_EnnaOoo::_EnnaAloulove:
1:47 | (Member (6 months)) Haruka: Gifted 20 Enna Alouette【NIJISANJI EN】 memberships
1:51 | (Member (1 month)) darkness118: Let's gooo Enna!!
1:54 | (Member (2 months)) namang: :_EnnaLight::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaLight::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
1:59 | (Member (2 months)) Tonton: LETS GO ENNA :_EnnaChu::_EnnaChu:
2:04 | (Member (2 months)) Haruka HKgirls: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaGgg::_EnnaOoo::_EnnaGgg::_EnnaOoo::_EnnaGgg::_EnnaOoo:
