-1:45 | (Member (2 months)) third12[三塁]
0:13 | (Member (2 months)) Pam Milby
0:21 | (Member (2 months)) *$2.00* Zalfuse: :_MillieCope:Booba must be bowler hat's on her chest 
0:31 | (Member (2 months)) Yuzu Milliennaium
0:43 | (Member (1 month)) qhuton: :_MillieBurn:MillieMilkers:_MillieBurn:
1:06 | (Member (2 months)) Propanecoke: Gifted 5 Millie Parfait【NIJISANJI EN】 memberships
1:06 | (Member (2 months)) Lorreinne: lezzgo #MillieMilkers:_MillieCope::_MillieCope:
1:14 | (New member) //Love🦋AKI
1:20 | (Member (6 months)) GoldExperience45: :_MillieCope::_MillieCope::_MillieCope: and here we go........
1:23 | (Member (2 months)) Raja
1:31 | (Member (2 months)) 日青Ching: Let’s goooo:_MillieBurn::_MillieBurn::_MillieBurn:
1:32 | (Member (6 months)) ゆぅ。
1:59 | (Member (2 months)) FearFateFireFist: :_MillieBurn::_MillieBurn::_MillieBurn:
2:05 | (Member (6 months)) Mafuyuchii Kun
2:08 | (Member (6 months)) Mashroom Gu: :_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
2:11 | (Member (6 months)) Oyasumi: :_MillieBurn::_MillieBurn::_MillieBurn:
2:18 | (Member (6 months)) Janice: :_MillieBurn::_MillieBurn::_MillieBurn:
2:22 | (Member (2 months)) Skye
2:23 | (Member (6 months)) dimi: □□□
2:29 | (Member (6 months)) npc_igarashi: :_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
2:30 | (Member (1 month)) Cannk: :_MillieBurn::_MillieBurn:
2:33 | (Member (2 months)) Applef (🐑🌈): :_MillieRIP:□:_MillieRIP:□
2:34 | (Member (2 months)) Invidia: :_MillieBurn::_MillieBurn::_MillieBurn:
2:34 | (Member (6 months)) Dan Sullivan: :_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
2:35 | (Member (2 months)) Grise Blacolar
2:45 | *$5.00* bignanime: Congrats on the new outfit. And lol at the doubters with such nice designs w
2:47 | (New member) MEEP
2:58 | (Member (2 months)) uraroo: :_MillieCope::_MillieCope::_MillieCope::_MillieCope::_MillieCope:
3:03 | (Member (6 months)) Old Deus 🐛: THE BOOBA HELL IS REAL, KEEP COPING BROS :_MillieCope::_MillieCope::_MillieCope:
3:05 | (Member (6 months)) たららんた: :_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
3:23 | (Member (2 months)) Fumi: :_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
3:24 | (Member (6 months)) bitterblossom: Congrats on the new outfit! It's Lucie's butt, isn't it?
3:24 | (New member) Mia🐏
3:52 | (New member) NeroNimbus01: Gifted 5 Millie Parfait【NIJISANJI EN】 memberships
4:01 | (Member (6 months)) jellobubs: I BELIEVE IN THE BREAD (I HAVE SOME DOUBTS BUT MOSTLY BELIEVE) :_MillieBurn::_MillieBurn::_MillieBurn:
4:03 | (Member (2 months)) spookyattic
4:10 | (Member (1 month)) Rain Misty: Looking forward to seeing your bread
4:14 | (Member (2 months)) sakua【雪華 さクあ】: :_MillieLetterM::_MillieLetteri::_MillieLetterL::_MillieLetterL::_MillieLetteri::_MillieLetterE::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn::_MillieBurn:
4:18 | *$10.00* Vivek: and the witch said onto us let there be bread
4:27 | (Member (6 months)) espyboy: Gifted 1 Millie Parfait【NIJISANJI EN】 memberships
4:34 | (Member (6 months)) JAR: Here we go!!!:_MillieBurn::_MillieBurn::_MillieBurn:
4:35 | (Member (6 months)) Mateo​ M: :_MillieHeart::_MillieBurn:
4:38 | (Member (6 months)) Ja33ger
4:49 | (Member (6 months)) NutellaHamSandwich: IKZ, MILLIE WITH DEADLY PACKAGES
4:50 | (Member (6 months)) Johnny Lacone: We've been waiting for this moment, the moment when Millie inherits an entire bakery! :_MillieLuciekek:
4:52 | (Member (2 months)) Friendly Mirror: tinapay doko?
5:05 | (Member (6 months)) Ed Zirion: :_MillieKon::_MillieLetterM::_MillieLetteri::_MillieLetterL::_MillieLetterL::_MillieLetteri::_MillieLetterE::_MillieHeart::_MillieHeart::_MillieHeart:
5:16 | *$2.00* KyoKyoDisaster!: You and me both! I am happy for her too!
5:36 | (Member (1 month)) Kanisan蟹仔
5:49 | (Member (6 months)) *CLP 1,000* RowJ: LETS GO COPIUM STREAM!
5:49 | (Member (2 months)) Shouしょう: :_MillieBurn::_MillieBurn::_MillieBurn:
5:55 | (Member (6 months)) KhZ 🍁: :_MillieBurn::_MillieHeart::_MillieBurn::_MillieHeart:
5:56 | (Member (6 months)) セルシダ Seru Shida: YOOOOOOOOOOOOOO
6:03 | (New member) Leon
6:08 | (Member (2 months)) Raniella
6:08 | (Member (2 months)) BunnyAngel👹🃏
6:10 | (New member) Uretsu Ki
6:10 | (Member (6 months)) Neptail: I BELIB 
6:15 | (Member (2 months)) kc~•: I BELIEVE:_MillieBonk::_MillieLUL:
6:15 | *$5.00* Professor Guapo: Will the bread be getting it's own lore?
6:16 | (New member) Aleo
6:32 | (Member (2 months)) ThatGuyJomar: :folded_hands:Millie’s Chest :folded_hands:
6:40 | (New member) Sync
6:43 | (Member (6 months)) Duwan: hatless bobaless but still a very ~great~ streamer! let's go new costume!!
6:44 | (Member (6 months)) REMi Chroma: What did it cost from Lucie?
6:48 | (Member (6 months)) *$5.00* NotoriousBSG82: Millie, I believe in your bread! :_MillieHeart:
6:56 | (New member) Black KittyPOG
7:01 | *$10.00* A Bowl Of Quantum Chicken Soup: I'm also a non-believer and I'm here to witness your huge cat-bell reveal
7:02 | (Member (6 months)) Aidan
7:05 | (Member (6 months)) Will 13th: Believe in the Bread:_MillieRobe::_MillieRobe:
7:09 | (New member) Magsor
7:17 | (Member (6 months)) Kotoyski : I'm gonna miss my oshi□□□□□
7:17 | (Member (6 months)) Zephyr Kitten: I'm just here for the food :_MillieBurn:
7:17 | (Member (2 months)) joychan♧: The bread is real:_MillieRobe::_MillieGgun:
7:25 | (Member (2 months)) ヤンカ: COPE HARDER. I do not believe in millie milkers:_MillieBurn::_MillieBurn:
7:33 | (Member (1 month)) Jamie: :_MillieCope::_MillieCope::_MillieCope::_MillieCope:
7:36 | (Member (6 months)) IcyMeerkat: i believe in the booba
7:40 | (Member (6 months)) wildnexus: I'm just here for the free bread :_MillieHeart:
7:45 | (Member (6 months)) BlyatBeagle: :_MillieCope::_MillieCope::_MillieCope::_MillieCope:
7:50 | (New member) Maksi
7:51 | (Member (6 months)) VTuPlus: :_MillieCope::_MillieCope::_MillieCope:
8:01 | (Member (2 months)) *₱125.00* john smith: I doubted but after thinking about it, I'll believe this time. 
8:03 | (Member (6 months)) *$20.00* Old Deus 🐛: congrats on the new outfit and boba getto, can't wait for the new lore video. :_MillieBurn::_MillieBurn::_MillieBurn::_MillieHeart::_MillieHeart::_MillieHeart:
8:05 | (Member (2 months)) Juliana Benedicto [JulesOfAJam]: :_MillieBurn::_MillieBurn::_MillieBurn:BILIB IN YOURSELF MILLEH! MAY THE BOING BOING MONAY BLESS YOU FOR ETERNITY!:_MillieBurn::_MillieBurn::_MillieBurn:
8:07 | (Member (6 months)) Akuma1426: :_MilliePat::_MillieHeart::_MilliePat::_MillieHeart::_MilliePat:
8:18 | *CA$5.00* Ghost of Pomu - The Ghost Who Touches Grass: Don't worry, I've been spamming 'E to believe' all day for the booba upgrate :folded_hands:
8:24 | (Member (2 months)) *€10.00* Constantine Nevermore: I believe!
8:25 | (New member) FG
8:26 | (Member (6 months)) *$5.00* AidedFaun841: ye of little faith, why reason ye among yourselves, because ye have brought no bread?”
8:28 | (New member) meii
8:37 | (Member (6 months)) MechaSaurus 2.0: Welcome Back From Your B00bajob did it hurt?...Can I kiss it:_MillieFlushge::_MillieFlushge::_MillieFlushge:?□□
8:45 | (Member (6 months)) SeaCrane1: The perfect day to hit 6 months, HYPE :_MillieBurn::_MillieHeart:
8:46 | (New member) Hinorashi
8:58 | (New member) Tinxiana_BuzZ
9:06 | (Member (6 months)) *$10.00* Zer0Pendragon6 Lucie’s Fan: You will look amazing no matter what Millie!! Good luck and you got this!!!!!:_MillieHeart::_MillieHeart::_MillieHeart:
9:06 | (Member (1 month)) Akuniahh
9:07 | (Member (6 months)) *$5.00* NotoriousBSG82: I am a true believer Millie! You got the bread! :_MillieHeart:
9:28 | (New member) Grish
9:44 | *$2.00* RandomMF: THE MILLIE BOOBAAAS ARE REAAAALLLLL!!!! 
9:48 | (Member (6 months)) *$5.00* Kyo: I'm pretty sure millie used the dragon balls to get booba it's the only possible way 
9:52 | (New member) A_kira_06
10:03 | (Member (6 months)) Aoi Mori: Queen of Clubbing
10:15 | (New member) *₱50.00* Maksi: i do not BELIEVE!
10:22 | (Member (1 month)) waldrick waldrick: the 'club' theme is when you bonk us on the head with it...
10:31 | (New member) LX
10:54 | (Member (6 months)) thundercookie15: I believe in the MillieMilkers, but the HAT WILL BE MISSED
11:36 | *€5.00* Quinmael: No more copium, only holy bonkers badonkers
11:59 | *€2.00* Midir Danann: if we ship you and petra is that Club penguin?
12:05 | *$1.99* Homo.antics: THE QUEEN OF CLUBBING LMAO
12:37 | (Member (6 months)) flakesnpie: I BELIEVE IN THE BOOBA, I ALWAYS HAVE:_MillieBurn::_MillieBurn::_MillieBurn:
13:08 | (Member (6 months)) Takimori. 寂しい: BOOBA!!:_MillieCope::_MillieCope::_MillieCope:
13:15 | (Member (1 month)) P1234M
13:31 | (Member (6 months)) NEON: Sorry Millie the bell is more powerful □
13:42 | (Member (2 months)) soufflei ♡: hmmm:_MillieCope:
14:02 | (Member (6 months)) *₱125.00* Nightmareflame: :red_heart::red_heart::red_heart:
14:03 | (Member (2 months)) Crowe: Time to take out your copium guys :_MillieCope::_MillieCope::_MillieCope:
14:10 | *$2.00* vante2: left: expectations. right: reality
