-0:09 | (Member (2 months)) Kyuu (Reimu's wife) 
0:12 | (Member (2 months)) Pizza: :folded_hands:Reimu's Back:folded_hands:
0:43 | (Member (6 months)) myrrhmidon: EVERYONE PRAY! :folded_hands:Reimu's back :folded_hands:
1:07 | (Member (6 months)) 犬緒Tarou: :_ReimuLove::_ReimuLove::_ReimuLove:
1:09 | (Member (2 months)) Nicoちゃん: :folded_hands:Reimu’s Back:folded_hands:
1:11 | (Member (2 months)) Luna Indigo: :folded_hands:Reimu's back:folded_hands:
1:20 | (Member (6 months)) Carol: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
1:20 | (Member (6 months)) Mirko D: :folded_hands:Reimu's Back:folded_hands:
1:20 | *€5.00* Quinmael: :folded_hands: Reimu's Back:folded_hands:
1:28 | (Member (6 months)) Kurogashi1998: :folded_hands: La Espalda del Reimu :folded_hands:
1:32 | (Member (6 months)) miniscooter: LETS GOOOOOOOO
1:33 | (Member (6 months)) Kulupu 👻🎼: :folded_hands:Reimu’s Back:folded_hands::_ReimuLove::_ReimuLove::_ReimuLove:
1:34 | (Member (6 months)) Mr. Nid: :folded_hands: Reimu's back :folded_hands:
1:34 | (Member (6 months)) Laura 【ラウラ】: Let's goooo!:_ReimuLove::_ReimuLight:
1:39 | (Member (6 months)) あまいゆのすけ: :folded_hands:Reimu's Back:folded_hands:
1:40 | (Member (2 months)) 未夢みむ🎀𓂃 𓈒𓏸: ikz:_ReimuLight::_ReimuLight::_ReimuLight:
2:01 | (Member (2 months)) Madison: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
2:02 | (Member (6 months)) あかりともよ: :_ReimuLove:
2:06 | (Member (6 months)) Jenon: Lets goooo:_ReimuLove::_ReimuLove::_ReimuLight::_ReimuLight:
2:23 | (Member (6 months)) アオリ: Reimu’s back
2:27 | (Member (6 months)) Ichiban-Hybrid: :folded_hands: Reimu’s Back :folded_hands: 
2:37 | (Member (6 months)) Splagoon: :_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight:
2:43 | (Member (1 month)) Eve Infinity: REIMU'S BACK ON NEW OUTFIT PLEASE:_ReimuPout::_ReimuPout::_ReimuPout::folded_hands::folded_hands::folded_hands:
2:45 | (Member (6 months)) Wind: :folded_hands: Reimu's back :folded_hands:
3:02 | (Member (6 months)) 坂の上のタモ / Tamo: 新衣装たのしみ!がんばって！
3:02 | (Member (2 months)) *₱25.00* Kiryuu 23 (Reimu's annoying backseater)👻🎼
3:08 | (Member (6 months)) Lenny Guevara: :folded_hands:LA ESPALDA DE REIMU:folded_hands:
3:26 | (Member (2 months)) Bastion: I may be at work but I wouldn't miss this!
3:40 | *MX$65.00* Angel Ch.: Reimu's back :folded_hands:
3:47 | (Member (6 months)) inekiいねき: ​:folded_hands:Reimu's back:folded_hands:
3:57 | (Member (6 months)) ARESTY: :folded_hands:Reimu's back:folded_hands:
3:59 | (Member (1 month)) Rinaリナ
4:17 | (Member (1 month)) Mary: :_ReimuLight::_ReimuLight::_ReimuLight:
4:34 | (Member (2 months)) Kyuu (Reimu's wife) : Welcome back queen!! :_ReimuLove: 
4:40 | (Member (1 month)) *THB 40.00* Eve Infinity: :folded_hands:Reimu's back:folded_hands: :folded_hands:Reimu's back:folded_hands: :folded_hands:Reimu's back:folded_hands:
4:41 | (Member (2 months)) purrp
4:53 | (Member (2 months)) うみ: :_ReimuLove::_ReimuLove::_ReimuLove:
4:56 | (Member (6 months)) Mclovin is AWESOME
4:58 | (New member) omfgitzneo[ネオ]
5:07 | (New member) Lilif3r19 Yuki
5:12 | (Member (1 month)) Gaternow🧭🪶: The Queen is hereeeee!
5:16 | *$5.00* Mikas fries (Pomus Thighs Geegas Eyepatch): IS THIS A GRADUATION PARTY?
5:16 | (New member) Tatops_
5:18 | (Member (6 months)) 墨黎ロナ: :folded_hands:Reimu's back:folded_hands:
5:23 | (Member (6 months)) *COP 10,000.00* Phoos👻🎼(Reimu's Memoir): from the bottom of our hearts, know that you are loved and held dear,you will do amazing, you are doing amazing,forever you are our pride and joy.
5:26 | (Member (2 months)) たのみ: おはれいむー！！おかえりなさい！:folded_hands:
5:33 | (Member (6 months)) Near: :_ReimuLove::_ReimuLove::_ReimuLove:
5:37 | (New member) Leo Perdomo
5:37 | (Member (2 months)) 팡식: :folded_hands:Reimu's back:folded_hands:
5:38 | (Member (1 month)) XIAOYU: baby it's been a month, love you and looking forward to your new outfit! take care!
5:46 | (Member (6 months)) yoshida haru: un mes más para ser un phantomo completo:_ReimuLove:
5:48 | (Member (2 months)) CE: :_ReimuLove::_ReimuLove::_ReimuLove:
5:49 | (Member (6 months)) うめめ: :_ReimuLove::_ReimuLove::_ReimuLove:
5:54 | (Member (2 months)) *₫200,000* rusha: :folded_hands:REIMU'S BACK:folded_hands:
5:57 | (Member (2 months)) Insomniackid7: Good Luck Reimu!
6:09 | (Member (2 months)) Jane: :_ReimuLove::_ReimuLove::_ReimuLove:
6:19 | (Member (2 months)) rain: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
6:26 | (Member (1 month)) 🍌🍌Angel Tsai: :_ReimuLove::_ReimuLove::_ReimuLove:
6:29 | (Member (2 months)) *NT$75.00* Yuwi: REIMUUUUU :sparkling_heart::sparkling_heart:
6:32 | (Member (2 months)) ReimerGhost: :_ReimuLove::folded_hands::folded_hands:Just Reimu:folded_hands::folded_hands::_ReimuLove:
6:52 | (Member (6 months)) YiMo: Congrats on new outfit Reimu :_ReimuLove:
7:07 | (Member (2 months)) *NT$300.00* りうRiu👻🎼: ohareimuuu!!! welcome back:_ReimuLove: 会いたかったよおおおお:_ReimuCry:cant wait to see your outfit and so so so happy to see you are healthier than last time we saw you!! :folded_hands:Reimu's back:folded_hands:
7:10 | *$0.99* zouraplayz
7:51 | (New member) ʕ •ᴥ• ʔ
8:37 | (Member (2 months)) Square Ch.
8:45 | (Member (2 months)) RowJ: :_ReimuLove::_ReimuLove:La reina de los corazones de todos los Phantomos, estoy muy emocionado por ver tu nuevo outfit!!!!!:_ReimuLove::_ReimuLove:
9:51 | (Member (6 months)) Ani: :_ReimuLove::_ReimuLove::_ReimuLove:
10:10 | (Member (2 months)) sofia👑🌸: mi reina :_ReimuLove:
10:23 | (Member (6 months)) デスヨ。
10:25 | (New member) miyako
10:32 | (Member (2 months)) Square Ch.: I can't wait Reimu:_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
10:47 | (Member (2 months)) らら
11:03 | (Member (1 month)) Nirin
12:17 | (Member (6 months)) Kodax [Void]: :_EndouCrest:queen of hearts:_EndouCrest:
