-4:57 | (New member) 雪ちゃん🔗🤲
-4:44 | (Member (2 months)) Owlowl Akaashi
-4:33 | (New member) 마메_ma-me
-4:19 | (New member) yong yong
-3:42 | (New member) Yamirror
-1:58 | (Member (6 months)) Yoru伊風: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
-1:57 | (Member (2 months)) Kumii: LETS GOOOO:_cheer::_cheer::_cheer:
-1:56 | (Member (2 months)) Rinaru: :_cheer::_cheer::_cheer::_cheer::_cheer:
-1:56 | (Member (2 months)) 芹*seri: :_fanboy::_fanboy::_fanboy:
-1:51 | (Member (2 months)) Domecq 🥃: IKEY:_glowstick1:WIKEY:_glowstick2:KAWAII:_fanboy:
-1:51 | (Member (6 months)) xi: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
-1:49 | (Member (2 months)) 7柒,: :_glowstick1::_fanboy::_glowstick2:
-1:47 | (Member (2 months)) こはる
-1:43 | (Member (2 months)) Lin Zhou: :_glowstick1:
-1:40 | (Member (6 months)) cherub＊nikki: Hype hype:_cheer::_cheer::_cheer::_cheer:
-1:40 | (Member (2 months)) みあこ_miako: :_fanboy::_fanboy::_fanboy:
-1:35 | (Member (2 months)) shiira: :_glowstick1::_fanboy::_glowstick2:
-1:34 | (Member (6 months)) Satsu Eveland: I AM READY :_fanboy::_fanboy::_fanboy: GOOD LUCK IKEY
-1:33 | (Member (2 months)) Cynthia🔱: IKEY:_fanboy:WIKEY:_fanboy:KAWAII:_fanboy:YOU GOT THIS
-1:33 | (Member (2 months)) Sazeky: :_glowstick1::_cheer::_glowstick2:
-1:29 | (Member (2 months)) Ysongsheng: :_glowstick1::_cheer::_glowstick2:
-1:29 | (Member (2 months)) Beni: :_glowstick1::_fanboy::_glowstick2::_glowstick1::_fanboy::_glowstick2:
-1:26 | (Member (6 months)) お菓子屋: :_fanboy::_fanboy::_fanboy:Thank you:_fanboy::_fanboy::_fanboy:
-1:25 | (Member (2 months)) Tartaglia: :_cheer::_cheer::_cheer::_fanboy:
-1:22 | (Member (6 months)) 賀良のりnori: :_cheer::_cheer::_cheer::_cheer::_cheer:
-1:20 | (Member (2 months)) MUMU: IKEY:_fanboy:WIKEY:_fanboy:KAWAII:_fanboy:
-1:18 | (Member (2 months)) maple: IKEYYYY:_cheer::_cheer::_cheer:
-1:16 | (Member (6 months)) 黃筱筑: :_glowstick1::_cheer::_glowstick2:
