-4:08 | (New member) ももせ
-2:44 | (New member) Sio 시오
0:47 | (Member (2 months)) La_azy: ASMR POG:_lucubPog:
0:53 | (Member (2 months)) あおい🌱: Hi boss!
1:00 | (Member (2 months)) hal: LET'S GO:_lucubWideA::_lucubWideB::_lucubWideC::_lucubWideD:
1:03 | (Member (1 month)) mino: luca i only love you 4 times in a year. it's the season spring summer autumn and winter:_lucubEZ1:asmr let's gooo
1:30 | (Member (1 month)) *HK$5.00* xuanxuan
1:46 | (Member (1 month)) とき: BOSS GNGM VOICE TSKRRRRRRR
1:51 | (Member (1 month)) *HK$10.00* xuanxuan
2:03 | (Member (1 month)) *HK$25.00* xuanxuan
2:04 | (Member (2 months)) Penguin: :_lucubPOG1::_lucubOMEGALUL::_lucubPOG3:
2:45 | (New member) *$5.00* Onyx Ember: Thanks for the stream boss! Hope you're doing well!
2:45 | (Member (1 month)) *HK$50.00* xuanxuan
3:01 | (Member (2 months)) moi
3:14 | (Member (2 months)) 史佳蕙
3:15 | (Member (1 month)) *HK$100.00* xuanxuan
3:16 | (Member (2 months)) Serenity Aqua
3:24 | (Member (2 months)) *₱250.00* roji: Hi Boss! This is my first supa for you. yesterday was my birthday~ is it alright to ask for a bday greeting from you?:_lucubPlead:Your new voice pack is so good! I love them:_lucubShy::_lucubShy::_lucubHeart:
3:25 | (Member (2 months)) rellic: :_lucubPog:
3:31 | (Member (1 month)) sungecko: Hi boss!:_lucubComfy:
3:46 | (Member (1 month)) *HK$250.00* xuanxuan
4:01 | (Member (1 month)) Moye: Hi luca
4:07 | (Member (2 months)) Yuni Huang: LUCAAAAAAAAAAAAAAAAAA:yellow_heart::yellow_heart::yellow_heart::yellow_heart: ASMR LETS GOOOOO:yellow_heart:
4:10 | (Member (1 month)) KDJ: :_lucubPOG1::_lucubOMEGALUL::_lucubPOG3: 
4:12 | (Member (2 months)) Ria Lin: :_lucubShy::_lucubShy::_lucubShy:I'm flushdge already Luca btw my friend got me pompompurin for my birthday :_lucubPlead::_lucubPOG1::_lucubPOG2::_lucubPOG3:
4:13 | (New member) Lingchen
4:17 | (Member (2 months)) Kusaki Sama: I AM SO EXCITED:_lucubLUL::_lucubLUL::_lucubLUL: I LOVE YOU BOSSSSS:_lucubPlead::_lucubPlead::_lucubPlead:
4:17 | (Member (1 month)) sieg: a
4:33 | (Member (2 months)) FOXRAINtc: Hi bosssss :_lucubPOG1::_lucubPOG2::_lucubPOG3:
4:34 | (New member) wara krub
4:41 | (Member (1 month)) Lilia -リリア-: :_lucubPOG1::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG3::_lucubWideA::_lucubWideB::_lucubWideC::_lucubWideD:
4:52 | (New member) 지희 jihee
4:52 | (New member) Dianne Hang
4:52 | (Member (1 month)) Marfii: :_lucubHeart::_lucubHeart::_lucubHeart:
4:54 | (Member (2 months)) shan: :_lucubAyaya:
5:12 | (Member (2 months)) Loser😈: :_lucubPat:
5:20 | (Member (2 months)) wing Haruka: you can do itttt
5:26 | (Member (2 months)) Alani: :_lucubHeart::_lucubHeart::_lucubHeart:
5:33 | (Member (2 months)) *NT$1,500.00* 染子Someko: OH MY GOD I LOVE U BABE……
5:35 | (New member) 대리
5:53 | (Member (2 months)) Evelyn C.: HAVE FUN！
5:59 | *₩2,000* Note조노트: Don't be too nervous!!!!:yellow_heart::yellow_heart::yellow_heart::yellow_heart:
6:39 | (Member (2 months)) Kizne銀曦: :_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart:
6:47 | *$9.99* Joeyyyyy: BOOOOOSSS I’m nervous as you too!! omg:loudly_crying_face:
6:49 | *$5.00* Evapunk 👹🧧{Vox's Sweet Thing}: Just whisper real close to the ears..you can do this sweetie! 
6:55 | (Member (1 month)) 夠了沒: Don’t be shy boss :_lucubWideA::_lucubWideB::_lucubWideC::_lucubWideD: Pog you:_lucubEZ1:
6:55 | (Member (2 months)) *HK$50.00* れな(๑•̀ㅁ•́ฅ): POG:yellow_heart:
7:01 | (Member (2 months)) willey: your mic is still mono boss:_lucubLUL:
7:08 | (New member) *₩10,000* 카리오 kario: Hi boss!Today is my birthday! Please congratulate me. Thank you for the stream today. SARANGHAE boss:yellow_heart::yellow_heart:
7:26 | (Member (2 months)) まそら: :_lucubPog::_lucubPog::_lucubPog:
7:27 | (Member (2 months)) *MYR 30.00* KIKO フリーダム田辺: :_lucubPOG1::_lucubPOG2::_lucubPOG3: ASMR make me pass away TSKR
7:40 | (New member) | rien |
7:45 | (New member) Pinkii
8:04 | *₩5,000* 페르세포네 Persephoné: With all due respect, you are so cute.
8:16 | *$4.99* Mars: *softly but with feeling* pog
8:17 | (Member (2 months)) Chili Sauce
8:37 | (Member (2 months)) Shiba Joy: you’re gonna do great today poggeroonis!!! :_lucubPog::_lucubHeart::_lucubHeart:
8:50 | (New member) *$19.99* Kikiking: TSKR OMG im dead:hot_face:
8:55 | (Member (2 months)) *$10.00* Riringo • リリンゴ: TSKR 🙏🏻 :_lucubHeart::_lucubHeart::_lucubHeart:
8:56 | *IDR 10,000.00* 20_Luna Satrianingtyas
9:12 | (New member) shhh
9:12 | (Member (2 months)) *$5.00* Ichi Bani 🐡: TSKR
9:13 | *NT$30.00* Zoey: u are so cute :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
9:36 | (Member (2 months)) *NT$1,500.00* 染子Someko: BOSS YOU'RE SO POG TODAY I'M DIED…PLEASE call me Someko ちゃん again:loudly_crying_face::loudly_crying_face::loudly_crying_face::folded_hands::folded_hands::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
9:40 | (Member (2 months)) Mao Kuuuuu: tskr
9:42 | (Member (2 months)) mimi🖤: oh my god tskr
9:50 | (New member) 太郎犬
9:55 | (Member (2 months)) Luka Hu: So glad to have your ASMR TSKR:_lucubHeart:
10:11 | *CLP 1,000* Augustus's Babysitter: poggin boss
10:38 | (Member (2 months)) 🍌🍌荒川Aya: TSKR:_lucubShy:
10:59 | (Member (2 months)) *HK$50.00* Kayna ෆ: Here is my grave:coffin: im ready luca:_lucubShy:
11:12 | (Member (1 month)) Toey SA.
11:28 | (New member) *$5.00* m0nstren: boss is so cute thank you for this stream :_lucubHeart::_lucubPat: the whisper pog tskr
12:18 | (Member (2 months)) *R$5.00* kitty pryde [gabi 🍓]: Don’t be nervous, you’re doing fine! We’re nervous too if it comforts you 
12:29 | (New member) Seven C.
12:32 | (Member (2 months)) *$9.99* Mizuki Miyazaki: sc from Nanaka: boss your face looks so smooth and soft!!! :pleading_face:But I am too short, can you get down and let me pinch your face?
13:20 | (New member) *¥500* みさき: I have an exam coming up soon, so I'll listen to this ASMR and do my best! Sorry my English is not good. だいすきです！！:yellow_heart::yellow_heart::yellow_heart:
13:27 | (Member (2 months)) Alicia: Love you boss! Have a nice day today:_lucubComfy::_lucubStick:
14:49 | *CA$5.00* Vox's fancy caviar gloves: Boss, you are soo gentle right now, you are making me melt out of sweetness :yellow_heart::yellow_heart:
15:26 | (Member (2 months)) Ghaitsa J 🦁: i am flushge hearing ur voice boss:_lucubBooba::_lucubBooba::_lucubShy::_lucubShy::_lucubShy:
15:29 | (Member (1 month)) ASS G
16:23 | (Member (2 months)) *$50.00* Euphoria: thank you for going above and beyond to make this stream possible. you motivate me, you know? 
16:31 | (New member) H
17:34 | (New member) what wan
18:20 | (Member (2 months)) haiyashi creampuff: oh damn.....tskr the heart beat:_lucubHeart::_lucubHeart:thank you
18:20 | (New member) 🌱Yan
19:39 | *$4.99* Coffin: You’re so amazing for doing all that for this stream, I’m so proud of you boss<3
19:55 | (New member) *IDR 100,000.00* sannyaaaaa: :_lucubHeart: i like your laugh sm :''""
20:16 | *¥200* mey: I want you to cough lightly around your ears!
20:16 | *CLP 1,000* Augustus's Babysitter: Mandandole una LUCA a LUCA ilysm pog
20:45 | (Member (2 months)) *HK$50.00* zhuyun 0924: I am just a child。
20:55 | (Member (2 months)) Cherry
20:58 | (Member (2 months)) *¥12,000* SeinaKaneshiro🧁: tskr
21:09 | (Member (2 months)) *$50.00* Ichi Bani 🐡: boss, it's my birhday, just whisper me a nice greeting? :_lucubHeart:
21:10 | (Member (2 months)) chen: did i d1e and enter heaven 
21:21 | (Member (2 months)) Cherry: :_lucubShy:
21:24 | (Member (2 months)) tatuma: Thank you ASMRstream
21:27 | (Member (2 months)) *SGD 10.00* celestine: tskr... deadge...flushge...cryge....:_lucubComfy:
21:38 | (Member (2 months)) Hilda
21:42 | (New member) Jrick
21:42 | (New member) Willow siu
21:49 | (Member (1 month)) ゃゃ: あわわtskr
21:49 | *$4.99* Hannah Z.: i just tapped it out and it was like 135bpm... boss :loudly_crying_face::yellow_heart::yellow_heart::yellow_heart: you're too cute
21:51 | (New member) *NT$750.00* nostopstop 🍮: yeah boss you do it so good just relax:yellow_heart:
22:00 | (Member (2 months)) *HK$500.00* Mangur Farmur 🥭 :3: ok you get this, □ my ears ichi nowwww helpppppp:_lucubBonk: you cant do this!!!!!!:_lucubRee::_lucubRee::_lucubRee::_lucubRee:
22:01 | (New member) *$19.99* Kikiking: Help me!!! Save me !!!
22:03 | (Member (2 months)) Berry: tskr TSKR!!!
22:05 | (Member (1 month)) Yami🍌
22:06 | (Member (1 month)) *¥12,000* Hannah风棠: Heart beat TSKR:yellow_heart: you are doing great boss
22:27 | (Member (2 months)) すずきsuzuki: :_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart:
22:29 | (Member (2 months)) *HK$78.00* Seten 💛🌷: Luca Luca can you say sth to make us a morning call…wait wt your good morning and good night vp is now available on nijisanji store until 14th July? With both En and Jp ver?! Everyone pls go get it!:yellow_heart::flushed_face:
22:41 | (Member (2 months)) Ashley: Boss I only want to say love you so much :rolling_on_the_floor_laughing::yellow_heart::yellow_heart::yellow_heart:
22:43 | (New member) Evelyn
